column_label,HI_mean_Interp,HI_sd_with_Interp,N.S.,Max_width_Interp,Min_response,Max_response,Peak_Q,ShapiroTest.W,ShapiroTest.p,t.test.stat,t.test.p,t.test.CIlow,t.test.CIhigh,wilcox.test.stat,wilcox.test.p,storm.ID,site.ID
21,-0.3550000000000001,0.1995340744858065,0.652173913043479,-0.836956521739131,23.1,27.7,953.336666666667,0.8068,0,-12.454,0,-0.4123,-0.2977,15,0,CARI_storm5_08_08_NO3,CARI
22,-0.2694622210894604,0.11360105151384305,0.611923353182421,-0.464514933154152,57.5946666666667,86.3673333333333,953.336666666667,0.8137,0,-16.604,0,-0.3021,-0.2368,14,0,CARI_storm5_08_08_fDOM,CARI
23,0.38028701723648967,0.05967520721554733,-0.736918042923761,0.520869296369769,67.864,80.8016666666667,953.336666666667,0.7585,0,44.6083,0,0.3632,0.3974,1275,0,CARI_storm5_08_08_SPC,CARI
24,0.020569199653279035,0.0769997824196256,0.243924363542971,0.275016854473656,1.60766666666667,11.9906666666667,953.336666666667,0.9185,0.0021,1.8699,0.0675,-0.0015,0.0427,760,0.2386,CARI_storm5_08_08_turb,CARI
25,0.3710575139146568,0.33242021512609926,-0.636363636363638,0.727272727272727,23.5,24.6,390.118,0.8261,0,7.7335,0,0.2746,0.4675,1127,0,CARI_storm6_08_15_NO3,CARI
26,-0.518511180532718,0.24404922259375503,0.666146004603751,-0.950756330154551,42.7826666666667,50.892,390.118,0.8124,0,-14.8723,0,-0.5886,-0.4484,1,0,CARI_storm6_08_15_fDOM,CARI
27,0.5772720880211774,0.3965154495796961,-0.121608206485771,0.974272005294506,76.1963333333333,84.255,390.118,0.7375,0,10.191,0,0.4634,0.6911,1275,0,CARI_storm6_08_15_SPC,CARI
28,0.1432019105514541,0.14650845285664713,0.276335214937039,0.388753799392096,1.39933333333333,5.23766666666667,390.118,0.9148,0.0015,6.842,0,0.1011,0.1853,1138,0,CARI_storm6_08_15_turb,CARI
29,0.2050534499514092,0.2558861566655969,0.142857142857143,0.571428571428572,22.3,24.4,403.060666666667,0.9297,0.006,5.5519,0,0.1308,0.2793,1038,0,CARI_storm7_08_18_NO3,CARI
30,-0.4984507663468955,0.20473104120886207,0.580493990517143,-0.859300915205648,43.294,55.386,403.060666666667,0.9164,0.0018,-17.0426,0,-0.5572,-0.4397,0,0,CARI_storm7_08_18_fDOM,CARI
31,0.732420183592171,0.1284905113072863,-0.520986086253677,0.86302753882571,79.708,85.4816666666667,403.060666666667,0.7686,0,39.9013,0,0.6955,0.7693,1275,0,CARI_storm7_08_18_SPC,CARI
32,0.1526153293843115,0.14998964867700024,0.293394363669001,0.505070902889965,1.25533333333333,4.96933333333333,403.060666666667,0.9244,0.0034,7.1225,0,0.1096,0.1957,1171,0,CARI_storm7_08_18_turb,CARI
33,0.6670833333333328,0.19906421702556165,-0.208333333333333,0.958333333333333,22.4,24.8,332.932,0.9271,0.0043,23.4577,0,0.6099,0.7242,1275,0,CARI_storm8_09_04_NO3,CARI
34,-0.5046463742166447,0.20986362265392955,0.549942447883345,-0.850172656349909,50.944,56.1566666666667,332.932,0.8924,3e-4,-16.8325,0,-0.5649,-0.4444,1,0,CARI_storm8_09_04_fDOM,CARI
35,0.65655956709225,0.1490317960595915,-0.554493954510872,0.864885431639474,86.421,90.3633333333333,332.932,0.9337,0.0076,30.8385,0,0.6138,0.6993,1275,0,CARI_storm8_09_04_SPC,CARI
36,0.438417966459483,0.17478720434013426,-0.560455025214027,0.808607951213793,1.388,4.23033333333333,332.932,0.9274,0.0044,17.5581,0,0.3882,0.4886,1275,0,CARI_storm8_09_04_turb,CARI
