"","Hyst_index","HI_ymin","HI_ymax","site.ID","storm.ID","month","day","response_var","year","X1","Parameter","Beta_index","SE","CI","Beta_ymin","Beta_ymax","t","df","p","HI","precip","temp","precip.week","precip.month","ThreeMonth","doy","date","TimeSinceChena"
"17",-0.464553536784393,-0.649665264475582,-0.415018486452951,"FRCH","storm4","09","19","fDOM","2022",78,"Q.norm",0.733665807999071,0.105221847269041,0.95,0.524802091940612,0.942529524057529,6.97256156435998,96,3.94984043756797e-10,-0.464553536784393,5.461,NA,16.637,50.927,153.925,261.614583333333,2022-09-19,129.614583333332
"18",0.873200442967918,0.843300110742005,0.903931339977886,"FRCH","storm4","09","19","SPC","2022",128,"Q.norm",-0.191175302993806,0.0216022049124199,0.95,-0.23404969995251,-0.1483009060351,-8.8498050902152,97,4.07245914038904e-14,0.873200442967918,5.461,NA,16.637,50.927,153.925,261.614583333333,2022-09-19,129.614583333332
"19",-0.40845866126393,-0.450596119379728,-0.304020883659319,"FRCH","storm4","09","19","turb","2022",178,"Q.norm",0.971226277222719,0.0603656175404919,0.95,0.851401473449478,1.09105108099596,16.0890638875887,96,5.2837364054692e-29,-0.40845866126393,5.461,NA,16.637,50.927,153.925,261.614583333333,2022-09-19,129.614583333332
"20",-0.494931814619365,-0.656669627462253,-0.49150948325409,"FRCH","storm4","09","19","abs","2022",210,"Q.norm",1.86565268460923,0.0640112400850191,0.95,1.73859137727937,1.99271399193909,29.1457044439584,96,1.77952822906136e-49,-0.494931814619365,5.461,NA,16.637,50.927,153.925,261.614583333333,2022-09-19,129.614583333332
"21",0.569486404833853,0.511832829808677,0.612789526686825,"MOOS","storm1","07","10","NO3","2022",28,"Q.norm",-0.138224394045473,0.0179980445336374,0.95,-0.173850419651387,-0.10259836843956,-7.67996733129198,123,4.27779564551774e-12,0.569486404833853,5.842,NA,5.461,17.907,41.275,190.197916666667,2022-07-10,58.1979166666679
"22",-0.485254460361933,-0.500735495053023,-0.469516933421945,"MOOS","storm1","07","10","fDOM","2022",80,"Q.norm",1.31269215059922,0.104139414908047,0.95,1.10622563176067,1.51915866943778,12.6051423638043,106,8.22950683818319e-23,-0.485254460361933,5.842,NA,5.461,17.907,41.275,190.197916666667,2022-07-10,58.1979166666679
"23",0.415655339805815,0.358616504854354,0.428094660194188,"MOOS","storm1","07","10","SPC","2022",130,"Q.norm",0.212216715145709,0.0260261070562612,0.95,0.160699632016166,0.263733798275252,8.15399378350959,123,3.42972359033575e-13,0.415655339805815,5.842,NA,5.461,17.907,41.275,190.197916666667,2022-07-10,58.1979166666679
"24",-0.123790879778903,-0.140828710472033,-0.0922786533955507,"MOOS","storm1","07","10","turb","2022",180,"Q.norm",1.72116034529151,0.129482572730724,0.95,1.46483666004764,1.97748403053539,13.2926023092767,122,1.77290018027194e-25,-0.123790879778903,5.842,NA,5.461,17.907,41.275,190.197916666667,2022-07-10,58.1979166666679
"25",-0.483712905452036,-0.509558316080055,-0.361283643892339,"MOOS","storm1","07","10","abs","2022",212,"Q.norm",1.73730144731056,0.0881923624238816,0.95,1.5627158573728,1.91188703724832,19.6990011330065,122,1.04634901939385e-39,-0.483712905452036,5.842,NA,5.461,17.907,41.275,190.197916666667,2022-07-10,58.1979166666679
"26",0.576402805611224,0.548847695390774,0.773547094188374,"MOOS","storm2a","08","05","NO3","2022",30,"Q.norm",-0.54703155638066,0.0755601472916883,0.95,-0.696446550041847,-0.397616562719474,-7.23968356320071,137,2.92913206599056e-11,0.576402805611224,12.954,NA,18.288,60.833,76.581,216.90625,2022-08-05,84.90625
"27",-0.398964459491967,-0.67703508143526,-0.372427581819748,"MOOS","storm2a","08","05","fDOM","2022",82,"Q.norm",0.182264269053619,0.116499786688434,0.95,-0.0481211395789092,0.412649677686148,1.56450302815631,136,0.120023413408443,-0.398964459491967,12.954,NA,18.288,60.833,76.581,216.90625,2022-08-05,84.90625
"28",0.95098458904112,0.703339041095914,0.95804794520548,"MOOS","storm2a","08","05","SPC","2022",132,"Q.norm",-0.486626979343293,0.0830390454979915,0.95,-0.6508309797513,-0.322422978935287,-5.86021884554374,137,3.27926636164091e-08,0.95098458904112,12.954,NA,18.288,60.833,76.581,216.90625,2022-08-05,84.90625
"29",-0.290986263624945,-0.34312573443008,-0.249260504882692,"MOOS","storm2a","08","05","turb","2022",182,"Q.norm",1.12540700991308,0.0134876000223982,0.95,1.09873268751029,1.15208133231587,83.440123375854,135,4.88661155263754e-118,-0.290986263624945,12.954,NA,18.288,60.833,76.581,216.90625,2022-08-05,84.90625
"30",-0.492385114554364,-0.67587074559661,-0.468282346709045,"MOOS","storm2a","08","05","abs","2022",214,"Q.norm",1.28916201067018,0.041219855337872,0.95,1.20764724153857,1.37067677980179,31.2752677102611,136,5.63487014493033e-64,-0.492385114554364,12.954,NA,18.288,60.833,76.581,216.90625,2022-08-05,84.90625
"31",0.489655172413771,0.470668103448289,0.635344827586173,"MOOS","storm3","08","19","NO3","2022",32,"Q.norm",-0.432861452718854,0.0371510887797376,0.95,-0.507410566323278,-0.358312339114431,-11.6513799981803,52,4.09229503282258e-16,0.489655172413771,1.651,NA,13.59,62.739,113.412,230.197916666667,2022-08-19,98.1979166666679
"32",0.259591962867475,0.222672242491653,0.301881148674957,"MOOS","storm3","08","19","fDOM","2022",84,"Q.norm",-0.260842192409185,0.0640598298148556,0.95,-0.389387645239961,-0.13229673957841,-4.07185272210472,52,0.000159479718175281,0.259591962867475,1.651,NA,13.59,62.739,113.412,230.197916666667,2022-08-19,98.1979166666679
"33",0.470021413276282,0.406852248394117,0.708779443254929,"MOOS","storm3","08","19","SPC","2022",134,"Q.norm",0.00117797356942891,0.0035109433529371,0.95,-0.00586724969249489,0.0082231968313527,0.335514832058873,52,0.73858667308311,0.470021413276282,1.651,NA,13.59,62.739,113.412,230.197916666667,2022-08-19,98.1979166666679
