"","Hyst_index","HI_ymin","HI_ymax","site.ID","storm.ID","month.x","day.x","response_var","Flush_index","FI_ymin","FI_ymax","month.y","day.y","year","X1","Parameter","Beta_index","SE","CI","Beta_ymin","Beta_ymax","t","df","p","X1_1","HI","precip","temp","precip.week","precip.month","ThreeMonth","temp.week","TOTAL.TIME","Intensity","doy","burn","pf","date","TimeSinceChena"
"43",-0.2565961035,-0.4947144965,-0.165790239,"MOOS","storm2","07","27","turb",0.4737,0.4463,0.4985,"07","27","2021",293,"Q.norm",0.625917774,0.03315272,0.95,0.560167174,0.691668375,18.87983185,103,3.19e-35,22,-0.256596103490264,11.8,12.029212962963,3,24.8,30.4,13.0837410714286,62.8333333333333,0.187798408488064,207.482638888889,"unburned","medium",2021-07-27,80.4826388888905
"44",0.0673800105,0.0394665425,0.0978425215,"MOOS","storm3a","08","06","fDOM",-0.4031,-0.4064,-0.4,"08","06","2021",205,"Q.norm",-0.186182871,0.02413024,0.95,-0.234502843,-0.137862899,-7.715748903,57,2.04e-10,3,0.0673800108552562,4.2,12.4816235632184,9.6,15.8,46.6,17.2433110119048,28.8333333333333,0.145664739884393,217.024305555556,"unburned","medium",2021-08-06,90.0243055555547
"45",0.880630631,0.591779279,0.9251126125,"MOOS","storm3a","08","06","SPC",NA,NA,NA,"08","06","2021",115,"Q.norm",0.145107663,0.008504951,0.95,0.128076793,0.162138533,17.06155229,57,4.61e-24,13,0.880630630630676,4.2,12.4816235632184,9.6,15.8,46.6,17.2433110119048,28.8333333333333,0.145664739884393,217.024305555556,"unburned","medium",2021-08-06,90.0243055555547
"46",-0.3445110165,-0.349962482,-0.341844971,"MOOS","storm3a","08","06","turb",0.497,0.429,0.6671,"08","06","2021",295,"Q.norm",-0.284435401,0.058134255,0.95,-0.400892307,-0.167978494,-4.892733236,56,8.78e-06,23,-0.34451101662157,4.2,12.4816235632184,9.6,15.8,46.6,17.2433110119048,28.8333333333333,0.145664739884393,217.024305555556,"unburned","medium",2021-08-06,90.0243055555547
"47",-0.4820315085,-0.488857181,-0.337690963137501,"MOOS","storm3b","08","08","fDOM",-0.104,-0.1045,-0.1035,"08","08","2021",207,"Q.norm",-0.014049313,0.00060913,0.95,-0.015260847,-0.012837778,-23.06456752,83,7.52e-38,4,-0.482031508487946,8.2,10.1776972222222,20.2,30.6,67.6,11.70353125,89.8333333333333,0.0912801484230056,219.732638888889,"unburned","medium",2021-08-08,92.7326388888905
"48",0.284349696,0.2473325745,0.295926113,"MOOS","storm3b","08","08","SPC",-0.0711,-0.0714,-0.0709,"08","08","2021",117,"Q.norm",0.116920624,0.012646206,0.95,0.091767828,0.14207342,9.245509641,83,2.11e-14,14,0.284349696356275,8.2,10.1776972222222,20.2,30.6,67.6,11.70353125,89.8333333333333,0.0912801484230056,219.732638888889,"unburned","medium",2021-08-08,92.7326388888905
"49",-0.16587788,-0.2051256605,-0.162899981,"MOOS","storm3b","08","08","turb",0.2196,0.1371,0.5305,"08","08","2021",297,"Q.norm",1.80771465,0.142984853,0.95,1.523272228,2.092157072,12.64270034,82,5.93e-21,24,-0.165877879998927,8.2,10.1776972222222,20.2,30.6,67.6,11.70353125,89.8333333333333,0.0912801484230056,219.732638888889,"unburned","medium",2021-08-08,92.7326388888905
"50",0.8213110845,0.7543784735,0.873671494,"MOOS","storm4a","08","15","fDOM",-0.9355,-0.9363,-0.9346,"08","15","2021",209,"Q.norm",0.014914548,0.005180396,0.95,0.004655046,0.02517405,2.879036515,117,0.004744205,5,0.82131108450855,28.2,5.58506051587302,12.2,42.2,89,7.12700744047619,41.8333333333333,0.67410358565737,226.399305555556,"unburned","medium",2021-08-15,99.3993055555547
"51",0.851454375,0.8358843535,0.8625469156125,"MOOS","storm4a","08","15","SPC",-0.6736,-0.6753,-0.673,"08","15","2021",119,"Q.norm",-0.129549655,0.014296289,0.95,-0.157862706,-0.101236604,-9.061768113,117,3.51e-15,15,0.85145437485339,28.2,5.58506051587302,12.2,42.2,89,7.12700744047619,41.8333333333333,0.67410358565737,226.399305555556,"unburned","medium",2021-08-15,99.3993055555547
"52",-0.395123788,-0.4070582,-0.3709420855,"MOOS","storm4a","08","15","turb",0.6799,0.6578,0.7161,"08","15","2021",299,"Q.norm",1.32992955,0.065954954,0.95,1.199297454,1.460561646,20.16421023,116,1.02e-39,25,-0.395123788111412,28.2,5.58506051587302,12.2,42.2,89,7.12700744047619,41.8333333333333,0.67410358565737,226.399305555556,"unburned","medium",2021-08-15,99.3993055555547
"53",-0.4337263705,-0.609881971,-0.275902066,"MOOS","storm4b","08","17","fDOM",-0.0427,-0.0475,-0.0393,"08","17","2021",211,"Q.norm",0.058089982,0.124645206,0.95,-0.193115925,0.309295888,0.466042647,44,0.643483962,6,-0.433726370732624,6,4.59205913978495,40.2,66.6,117.2,5.82341666666667,61.8333333333333,0.0970350404312668,228.149305555556,"unburned","medium",2021-08-17,101.149305555555
