"","Hyst_index","HI_ymin","HI_ymax","site.ID","storm.ID","month.x","day.x","response_var","Flush_index","FI_ymin","FI_ymax","month.y","day.y","year","X1","Parameter","Beta_index","SE","CI","Beta_ymin","Beta_ymax","t","df","p","HI","precip","temp","precip.week","precip.month","ThreeMonth","temp.week","TOTAL.TIME","Intensity","doy","burn","pf","date","TimeSinceChena"
"131",0.647885474126616,0.638254093336841,0.65731984940023,"CARI","storm5","07","13","SPC",NA,NA,NA,"07","13","2020",328,"Q.norm",0.0768758080206282,0.0080250152251094,0.95,0.060668960985104,0.0930826550561525,9.57952176590172,41,5.09801137922233e-12,0.647885474126616,19.939,12.7206833333333,55.88,81.916,81.916,10.3571525297619,54.5,0.365853211009174,194.208333333333,"burned","medium","2020-07-13",65.2083333333321
"132",-0.152149321266969,-0.265271493212671,-0.14502262443439,"CARI","storm5","07","13","turb",0.8439,NA,NA,"07","13","2020",484,"Q.norm",0.756566082521329,0.176025344940706,0.95,0.400805589791494,1.11232657525116,4.29805198095863,40,0.000107229622268823,-0.152149321266969,19.939,12.7206833333333,55.88,81.916,81.916,10.3571525297619,54.5,0.365853211009174,194.208333333333,"burned","medium","2020-07-13",65.2083333333321
"133",0.578947368421053,0.552631578947369,0.631578947368421,"CARI","storm6","07","24","NO3",NA,NA,NA,"07","24","2020",12,"Q.norm",-0.123879248310316,0.0150022243786504,0.95,-0.15430516957402,-0.0934533270466129,-8.25739204958222,36,7.9427502403364e-10,0.578947368421053,8.636,11.0035688405797,49.149,101.855,101.855,11.2233499503968,45.5,0.189802197802198,205.583333333333,"burned","medium","2020-07-24",76.5833333333321
"134",0.728337081624551,0.717059134806186,0.74077258896679,"CARI","storm6","07","24","SPC",NA,NA,NA,"07","24","2020",330,"Q.norm",-0.0770332878436165,0.0095014665536263,0.95,-0.0963031551615424,-0.0577634205256906,-8.10751555129311,36,1.22681016199183e-09,0.728337081624551,8.636,11.0035688405797,49.149,101.855,101.855,11.2233499503968,45.5,0.189802197802198,205.583333333333,"burned","medium","2020-07-24",76.5833333333321
"135",-0.0423758533620126,-0.0566102434614546,-0.0217159200723216,"CARI","storm6","07","24","turb",0.4536,NA,NA,"07","24","2020",486,"Q.norm",-0.280601329043178,0.187404393476267,0.95,-0.661052474028294,0.0998498159419383,-1.49730389900765,35,0.143279072332081,-0.0423758533620126,8.636,11.0035688405797,49.149,101.855,101.855,11.2233499503968,45.5,0.189802197802198,205.583333333333,"burned","medium","2020-07-24",76.5833333333321
"136",0.1125,0.0250000000000004,0.2125,"CARI","storm7","07","27","NO3",NA,NA,NA,"07","27","2020",14,"Q.norm",-0.365251411058778,0.110337009514462,0.95,-0.583828177088616,-0.14667464502894,-3.31032545349984,114,0.001248182319722,0.1125,18.034,11.2670487012987,41.021,110.491,110.491,11.7479858630952,76.5,0.235738562091503,208.291666666667,"burned","medium","2020-07-27",79.2916666666679
"137",-0.298163943906318,-0.436229579297383,-0.118707532167122,"CARI","storm7","07","27","fDOM",0.2397,0,0,"07","27","2020",172,"Q.norm",0.28306476929427,0.216060410876232,0.95,-0.144949240549044,0.711078779137584,1.31011862907371,114,0.19278942544829,-0.298163943906318,18.034,11.2670487012987,41.021,110.491,110.491,11.7479858630952,76.5,0.235738562091503,208.291666666667,"burned","medium","2020-07-27",79.2916666666679
"138",0.444229337304533,0.384921816827993,0.462645817820795,"CARI","storm7","07","27","SPC",NA,NA,NA,"07","27","2020",332,"Q.norm",-0.196072505759351,0.0565994836231154,0.95,-0.308185189742605,-0.0839598217760964,-3.46421015189746,115,0.000748052444558094,0.444229337304533,18.034,11.2670487012987,41.021,110.491,110.491,11.7479858630952,76.5,0.235738562091503,208.291666666667,"burned","medium","2020-07-27",79.2916666666679
"139",-0.00229518287279305,-0.0033713474563018,-0.00182501874641612,"CARI","storm7","07","27","turb",NA,NA,NA,"07","27","2020",488,"Q.norm",0.248307978694906,0.114336644855622,0.95,0.0218079658595183,0.474807991530294,2.17172699975984,114,0.031947933380962,-0.00229518287279305,18.034,11.2670487012987,41.021,110.491,110.491,11.7479858630952,76.5,0.235738562091503,208.291666666667,"burned","medium","2020-07-27",79.2916666666679
"140",0.902439024390244,0.878048780487805,0.902439024390244,"CARI","storm8a","08","02","NO3",NA,NA,NA,"08","02","2020",16,"Q.norm",0.016772215848815,0.0083841035681964,0.95,-0.000172689542645772,0.0337171212402757,2.00047813250273,40,0.0522686362347596,0.902439024390244,14.224,13.3135267857143,35.687,128.525,128.525,11.7225448717949,27.5,0.517236363636364,214.041666666667,"burned","medium","2020-08-02",85.0416666666679
