"","datetimeAK","site.ID","fDOM","SPC","Turb","NO3","ABS_254","Q"
"10494",2015-08-31 13:45:00,"FRCH",125.749808478915,61.1,31.65,21.786593682537,0.616733333333333,NA
"10495",2015-08-31 14:00:00,"FRCH",125.459274596319,61.1,32.53,21.8209439974991,0.616833333333333,2689.04696920197
"10496",2015-08-31 14:15:00,"FRCH",125.283099780664,61.2,36.31,21.8740308478952,0.6156,NA
"10497",2015-08-31 14:30:00,"FRCH",125.482387605197,61.2,31.2,21.8865218715178,0.614766666666667,NA
"10498",2015-08-31 14:45:00,"FRCH",125.331197744105,61.3,25.36,21.8646625801783,0.613733333333333,NA
"10499",2015-08-31 15:00:00,"FRCH",125.810396435494,61.3,35.36,21.9239949423857,0.614266666666667,3164.57093444388
"10500",2015-08-31 15:00:00,"FRCH",125.810396435494,61.3,35.36,21.9239949423857,0.614266666666667,2631.31234496108
"10501",2015-08-31 15:15:00,"FRCH",125.549434067832,61.3,30.43,21.8833991156122,0.613166666666667,NA
"10502",2015-08-31 15:30:00,"FRCH",126.089420868847,61.4,26.71,21.9989410841214,0.613433333333333,NA
"10503",2015-08-31 15:45:00,"FRCH",126.246780429235,61.4,49.62,21.9177494305744,0.6113,NA
"10504",2015-08-31 16:00:00,"FRCH",126.517186925064,61.4,31.77,21.9895728164044,0.6104,2585.34269000872
"10505",2015-08-31 16:15:00,"FRCH",126.51161136834,61.4,42.24,21.8927673833292,0.609766666666667,NA
"10506",2015-08-31 16:30:00,"FRCH",126.824653207656,61.5,30.04,21.9489769896309,0.6098,NA
"10507",2015-08-31 16:45:00,"FRCH",125.922271774149,61.5,34.56,22.101992029008,0.608466666666667,NA
"10508",2015-08-31 17:00:00,"FRCH",126.03780151306,61.5,39.1,21.9458542337253,0.606866666666667,2579.14924713635
"10509",2015-08-31 17:15:00,"FRCH",125.845675499933,61.5,31.83,22.0364141549892,0.605733333333333,NA
"10510",2015-08-31 17:30:00,"FRCH",125.685431477748,61.6,33.06,22.1457106116872,0.605266666666667,NA
"10511",2015-08-31 17:45:00,"FRCH",126.411270726052,61.6,26.86,22.0489051786119,0.605233333333333,NA
"10512",2015-08-31 18:00:00,"FRCH",126.174923711858,61.6,32.78,22.1425878557815,0.603966666666667,2558.71735242763
"10513",2015-08-31 18:15:00,"FRCH",126.405095313593,61.7,32.02,22.0395369108949,0.602766666666667,NA
"10514",2015-08-31 18:30:00,"FRCH",126.109721182681,61.7,45.23,22.0364141549892,0.6029,NA
"10515",2015-08-31 18:45:00,"FRCH",126.548562264576,61.7,32,22.0957465171967,0.6022,NA
"10516",2015-08-31 19:00:00,"FRCH",126.604100861602,61.8,28.51,22.0895010053854,0.6006,2485.11207778674
"10517",2015-08-31 19:15:00,"FRCH",126.185425214603,61.7,30.61,22.1613243912155,0.599,NA
"10518",2015-08-31 19:30:00,"FRCH",128.784343088422,61.6,31.09,22.1956747061776,0.598833333333333,NA
"10519",2015-08-31 19:45:00,"FRCH",128.711578173203,61.4,33.81,22.1051147849137,0.598833333333333,NA
"10520",2015-08-31 20:00:00,"FRCH",128.976224137582,61.2,35.53,22.1956747061776,0.5975,2484.31666741086
"10521",2015-08-31 20:15:00,"FRCH",128.913787574669,61,87.54,22.1519561234985,0.598566666666667,NA
"10522",2015-08-31 20:30:00,"FRCH",128.496341336416,60.8,32.23,22.1987974620833,0.597933333333333,NA
"10523",2015-08-31 20:45:00,"FRCH",128.613436716601,60.6,30.11,22.2081657298003,0.597066666666667,NA
"10524",2015-08-31 21:00:00,"FRCH",128.16196780459,60.4,26.29,22.2175339975172,0.596466666666667,NA
"10525",2015-08-31 21:15:00,"FRCH",125.834355192198,60.3,25.23,22.3268304542151,0.594233333333333,NA
"10526",2015-08-31 21:30:00,"FRCH",126.253697807389,60.1,26.65,22.2612525801963,0.593466666666667,NA
"10527",2015-08-31 21:45:00,"FRCH",126.398044408556,59.8,28.01,22.2393932888568,0.5927,NA
"10528",2015-08-31 22:00:00,"FRCH",126.316285892872,59.6,29.88,22.2269022652342,0.590933333333333,2398.14096862098
"10529",2015-08-31 22:15:00,"FRCH",126.519880143814,59.5,41.95,22.2612525801963,0.590533333333333,NA
"10530",2015-08-31 22:30:00,"FRCH",127.301517799122,59.4,32.74,22.2987256510642,0.589633333333333,NA
"10531",2015-08-31 22:45:00,"FRCH",126.841155341264,59.3,29.53,22.2612525801963,0.590266666666667,NA
"10532",2015-08-31 23:00:00,"FRCH",126.501398550034,59.2,25.81,22.3330759660264,0.5882,2393.23175261496
"10533",2015-08-31 23:15:00,"FRCH",125.578732691953,59.2,45.74,22.336198721932,0.588,NA
"10534",2015-08-31 23:30:00,"FRCH",126.250054712027,59.1,26.37,22.3518125014603,0.588366666666667,NA
"10535",2015-08-31 23:45:00,"FRCH",125.700732092148,59,30.88,22.4330041550074,0.5876,NA
"10536",2015-09-01 00:00:00,"FRCH",125.937300838353,59,24.66,22.3580580132717,0.5848,2364.85707686884
"10537",2015-09-01 00:15:00,"FRCH",125.412464516214,58.9,41.32,22.2768663597246,0.583066666666667,NA
"10538",2015-09-01 00:30:00,"FRCH",125.276053601748,58.9,27.96,22.3424442337434,0.582966666666667,NA
"10539",2015-09-01 00:45:00,"FRCH",125.324161776551,58.9,28.21,22.4080221077621,0.581866666666667,NA
"10540",2015-09-01 01:00:00,"FRCH",125.559987720731,58.9,35.18,22.3518125014603,0.581133333333333,2300.72915893405
"10541",2015-09-01 01:15:00,"FRCH",124.690960257525,58.8,26.03,22.4330041550074,0.5799,NA
"10542",2015-09-01 01:30:00,"FRCH",124.41376908415,58.8,31.32,22.4486179345356,0.579266666666667,NA
"10543",2015-09-01 01:45:00,"FRCH",124.756460306646,58.8,26.51,22.3799173046112,0.578633333333333,NA
"10544",2015-09-01 02:00:00,"FRCH",124.220574204904,58.8,25.89,22.3767945487056,0.577433333333333,2345.08519114285
"10545",2015-09-01 02:15:00,"FRCH",124.056403743947,58.8,24.57,22.3799173046112,0.5767,NA
"10546",2015-09-01 02:30:00,"FRCH",123.854135725467,58.8,36.04,22.4486179345356,0.577466666666667,NA
"10547",2015-09-01 02:45:00,"FRCH",123.542473031678,58.8,24.5,22.5860191943844,0.5761,NA
"10548",2015-09-01 03:00:00,"FRCH",123.416352867464,58.8,30.98,22.4423724227243,0.575566666666667,2304.12073166112
"10549",2015-09-01 03:15:00,"FRCH",123.715964268961,58.8,31.18,22.4330041550074,0.574033333333333,NA
"10550",2015-09-01 03:30:00,"FRCH",123.236577758076,58.9,26.25,22.4017765959508,0.5721,NA
"10551",2015-09-01 03:45:00,"FRCH",123.502277824602,58.9,31.47,22.4954592731204,0.571933333333333,NA
"10552",2015-09-01 04:00:00,"FRCH",123.006871003299,58.9,28.1,22.4330041550074,0.570566666666667,2293.68499980264
"10553",2015-09-01 04:15:00,"FRCH",122.766526473311,58.9,28.88,22.4860910054034,0.571766666666667,NA
"10554",2015-09-01 04:30:00,"FRCH",122.741586739263,58.9,37.62,22.5110730526487,0.5718,NA
"10555",2015-09-01 04:45:00,"FRCH",122.901832711308,58.9,31.69,22.6266150211578,0.569166666666667,NA
"10556",2015-09-01 05:00:00,"FRCH",122.764354076054,58.9,31.78,22.5704054148561,0.568066666666667,2222.45917504471
"10557",2015-09-01 05:15:00,"FRCH",122.625599804465,58.9,31.08,22.5141958085543,0.568433333333333,NA
"10558",2015-09-01 05:30:00,"FRCH",122.228999864508,58.9,41.8,22.58914195029,0.568433333333333,NA
"10559",2015-09-01 05:45:00,"FRCH",121.940822855929,58.9,30.54,22.5360550998939,0.566566666666667,NA
"10560",2015-09-01 06:00:00,"FRCH",121.749118623578,58.9,32.43,22.5579143912335,0.567333333333333,2248.00947905667
"10561",2015-09-01 06:15:00,"FRCH",121.119999924567,58.9,30.84,22.6484743124975,0.5655,NA
"10562",2015-09-01 06:30:00,"FRCH",120.74984417453,58.9,28.92,22.5735281707618,0.5633,NA
"10563",2015-09-01 06:45:00,"FRCH",120.409172062635,58.9,30.17,22.6515970684031,0.563166666666667,NA
"10564",2015-09-01 07:00:00,"FRCH",120.085889365794,58.9,24.04,22.6734563597427,0.562,2234.54135885112
"10565",2015-09-01 07:15:00,"FRCH",119.749286073946,59,39.78,22.689070139271,0.562733333333333,NA
"10566",2015-09-01 07:30:00,"FRCH",119.533805400757,59,28.99,22.7078066747049,0.5615,NA
"10567",2015-09-01 07:45:00,"FRCH",119.979252732572,59,29.92,22.6359832888748,0.561166666666667,NA
"10568",2015-09-01 08:00:00,"FRCH",120.145987932881,59,31.81,22.6765791156484,0.559366666666667,2214.95731392564
"10569",2015-09-01 08:15:00,"FRCH",119.599088260623,59,28.45,22.7046839187993,0.5593,NA
"10570",2015-09-01 08:30:00,"FRCH",119.996086568941,59.1,39.83,22.7140521865162,0.559533333333333,NA
"10571",2015-09-01 08:45:00,"FRCH",119.802069088731,59.1,28,22.7202976983275,0.5557,NA
"10572",2015-09-01 09:00:00,"FRCH",119.605579884681,59.1,30.36,22.7484025014784,0.555133333333333,NA
"10573",2015-09-01 09:15:00,"FRCH",119.722840953072,59.1,46.06,22.7015611628935,0.555466666666667,NA
"10574",2015-09-01 09:30:00,"FRCH",119.182100077166,59.2,37.99,22.7983665959689,0.5532,NA
"10575",2015-09-01 09:45:00,"FRCH",118.922876901268,59.2,33.48,22.8264713991198,0.5513,NA
