"inst_rainfall_mm","Datetime","Site"
0.2,2019-08-01 05:52:00,"FRCH"
0.2,2019-08-01 14:07:00,"FRCH"
0.2,2019-08-01 20:22:00,"FRCH"
0.2,2019-08-01 21:07:00,"FRCH"
0.2,2019-08-01 21:22:00,"FRCH"
0.4,2019-08-01 21:37:00,"FRCH"
0.2,2019-08-01 22:07:00,"FRCH"
0.2,2019-08-02 00:52:00,"FRCH"
0.2,2019-08-02 01:37:00,"FRCH"
0.2,2019-08-02 02:37:00,"FRCH"
0.2,2019-08-02 03:07:00,"FRCH"
0.2,2019-08-02 04:07:00,"FRCH"
0.2,2019-08-02 04:52:00,"FRCH"
0.2,2019-08-02 05:22:00,"FRCH"
0.4,2019-08-02 05:52:00,"FRCH"
0.4,2019-08-02 06:07:00,"FRCH"
0.6,2019-08-02 06:22:00,"FRCH"
0.8,2019-08-02 06:37:00,"FRCH"
0.8,2019-08-02 06:52:00,"FRCH"
1,2019-08-02 07:07:00,"FRCH"
0.8,2019-08-02 07:22:00,"FRCH"
0.6,2019-08-02 07:37:00,"FRCH"
0.8,2019-08-02 07:52:00,"FRCH"
0.6,2019-08-02 08:07:00,"FRCH"
0.4,2019-08-02 08:22:00,"FRCH"
0.6,2019-08-02 08:37:00,"FRCH"
0.6,2019-08-02 08:52:00,"FRCH"
0.6,2019-08-02 09:07:00,"FRCH"
0.8,2019-08-02 09:22:00,"FRCH"
1.4,2019-08-02 09:37:00,"FRCH"
0.6,2019-08-02 09:52:00,"FRCH"
1.2,2019-08-02 10:07:00,"FRCH"
0.8,2019-08-02 10:22:00,"FRCH"
0.2,2019-08-02 10:37:00,"FRCH"
0.4,2019-08-02 12:07:00,"FRCH"
0.2,2019-08-02 13:37:00,"FRCH"
0.2,2019-08-02 13:52:00,"FRCH"
0.2,2019-08-02 14:52:00,"FRCH"
0.4,2019-08-02 15:07:00,"FRCH"
0.2,2019-08-02 15:52:00,"FRCH"
0.2,2019-08-03 04:22:00,"FRCH"
0.2,2019-08-03 05:22:00,"FRCH"
0.8,2019-08-03 05:52:00,"FRCH"
0.6,2019-08-03 06:07:00,"FRCH"
1,2019-08-03 06:22:00,"FRCH"
1.2,2019-08-03 06:37:00,"FRCH"
1,2019-08-03 06:52:00,"FRCH"
0.6,2019-08-03 07:07:00,"FRCH"
0.6,2019-08-03 07:22:00,"FRCH"
0.2,2019-08-03 07:37:00,"FRCH"
0.4,2019-08-03 07:52:00,"FRCH"
0.8,2019-08-03 08:07:00,"FRCH"
0.4,2019-08-03 08:22:00,"FRCH"
0.2,2019-08-03 08:37:00,"FRCH"
0.2,2019-08-03 09:52:00,"FRCH"
0.2,2019-08-03 10:07:00,"FRCH"
0.2,2019-08-04 00:22:00,"FRCH"
0.2,2019-08-04 00:52:00,"FRCH"
0.2,2019-08-04 01:07:00,"FRCH"
0.2,2019-08-04 01:22:00,"FRCH"
0.2,2019-08-04 01:52:00,"FRCH"
0.4,2019-08-04 02:07:00,"FRCH"
0.2,2019-08-04 02:22:00,"FRCH"
0.2,2019-08-04 02:52:00,"FRCH"
0.2,2019-08-04 03:22:00,"FRCH"
0.4,2019-08-04 03:37:00,"FRCH"
0.2,2019-08-04 03:52:00,"FRCH"
0.4,2019-08-04 04:22:00,"FRCH"
0.2,2019-08-04 04:37:00,"FRCH"
0.2,2019-08-04 04:52:00,"FRCH"
0.4,2019-08-04 06:22:00,"FRCH"
0.2,2019-08-04 07:52:00,"FRCH"
0.2,2019-08-05 08:37:00,"FRCH"
0.4,2019-08-05 08:52:00,"FRCH"
0.2,2019-08-05 09:07:00,"FRCH"
0.2,2019-08-05 09:22:00,"FRCH"
0.2,2019-08-05 09:52:00,"FRCH"
0.2,2019-08-05 10:07:00,"FRCH"
0.2,2019-08-05 10:22:00,"FRCH"
0.6,2019-08-05 10:37:00,"FRCH"
0.8,2019-08-05 10:52:00,"FRCH"
0.4,2019-08-05 11:07:00,"FRCH"
0.2,2019-08-05 11:22:00,"FRCH"
0.4,2019-08-05 11:37:00,"FRCH"
1,2019-08-05 11:52:00,"FRCH"
0.6,2019-08-05 12:07:00,"FRCH"
0.4,2019-08-05 12:22:00,"FRCH"
0.2,2019-08-05 12:37:00,"FRCH"
0.4,2019-08-05 12:52:00,"FRCH"
0.2,2019-08-05 13:07:00,"FRCH"
0.2,2019-08-05 14:22:00,"FRCH"
0.2,2019-08-05 16:22:00,"FRCH"
0.4,2019-08-05 16:52:00,"FRCH"
0.4,2019-08-05 17:07:00,"FRCH"
0.6,2019-08-05 17:22:00,"FRCH"
0.4,2019-08-05 17:37:00,"FRCH"
0.2,2019-08-05 18:07:00,"FRCH"
0.2,2019-08-05 18:22:00,"FRCH"
0.2,2019-08-05 19:07:00,"FRCH"
0.2,2019-08-05 19:22:00,"FRCH"
0.2,2019-08-05 19:52:00,"FRCH"
0.2,2019-08-05 21:37:00,"FRCH"
0.2,2019-08-05 21:52:00,"FRCH"
0.2,2019-08-05 22:52:00,"FRCH"
1,2019-08-05 23:37:00,"FRCH"
0.2,2019-08-05 23:52:00,"FRCH"
0.6,2019-08-06 00:37:00,"FRCH"
0.4,2019-08-06 00:52:00,"FRCH"
0.2,2019-08-06 06:07:00,"FRCH"
1.2,2019-08-06 06:22:00,"FRCH"
0.4,2019-08-06 07:07:00,"FRCH"
7.4,2019-08-06 10:52:00,"FRCH"
0.4,2019-08-06 11:07:00,"FRCH"
1.2,2019-08-06 11:37:00,"FRCH"
1.8,2019-08-06 11:52:00,"FRCH"
0.2,2019-08-06 12:22:00,"FRCH"
0.4,2019-08-06 12:52:00,"FRCH"
1.2,2019-08-06 13:07:00,"FRCH"
3.8,2019-08-06 13:22:00,"FRCH"
2,2019-08-06 13:37:00,"FRCH"
0.8,2019-08-06 13:52:00,"FRCH"
1.8,2019-08-06 14:07:00,"FRCH"
1.6,2019-08-06 14:22:00,"FRCH"
0.6,2019-08-06 14:37:00,"FRCH"
1.2,2019-08-06 14:52:00,"FRCH"
0.4,2019-08-06 15:07:00,"FRCH"
0.6,2019-08-06 15:22:00,"FRCH"
0.6,2019-08-06 15:37:00,"FRCH"
0.2,2019-08-06 17:22:00,"FRCH"
1.2,2019-08-06 17:37:00,"FRCH"
4.8,2019-08-06 17:52:00,"FRCH"
0.4,2019-08-06 18:07:00,"FRCH"
0.2,2019-08-06 21:52:00,"FRCH"
0.4,2019-08-08 22:37:00,"FRCH"
0.4,2019-08-08 22:52:00,"FRCH"
0.4,2019-08-08 23:22:00,"FRCH"
0.2,2019-08-08 23:52:00,"FRCH"
0.2,2019-08-09 00:22:00,"FRCH"
