"","Date","Site","ppt_tot"
"66",2015-05-31,"French (33% permafrost)",0
"67",2015-05-31,"Moose (38% permafrost)",0
"68",2015-05-31,"Poker (25% permafrost)",0.127
"69",2015-06-01,"French (33% permafrost)",5.842
"70",2015-06-01,"Moose (38% permafrost)",2.54
"71",2015-06-01,"Poker (25% permafrost)",4.064
"72",2015-06-02,"French (33% permafrost)",0
"73",2015-06-02,"Moose (38% permafrost)",0
"74",2015-06-02,"Poker (25% permafrost)",0
"75",2015-06-03,"French (33% permafrost)",2.032
"76",2015-06-03,"Moose (38% permafrost)",4.064
"77",2015-06-03,"Poker (25% permafrost)",1.651
"78",2015-06-04,"French (33% permafrost)",0
"79",2015-06-04,"Moose (38% permafrost)",0
"80",2015-06-04,"Poker (25% permafrost)",0
"81",2015-06-05,"French (33% permafrost)",0
"82",2015-06-05,"Moose (38% permafrost)",0
"83",2015-06-05,"Poker (25% permafrost)",0
"84",2015-06-06,"French (33% permafrost)",0
"85",2015-06-06,"Moose (38% permafrost)",0
"86",2015-06-06,"Poker (25% permafrost)",1.905
"87",2015-06-07,"French (33% permafrost)",4.064
"88",2015-06-07,"Moose (38% permafrost)",1.27
"89",2015-06-07,"Poker (25% permafrost)",0.127
"90",2015-06-08,"French (33% permafrost)",4.826
"91",2015-06-08,"Moose (38% permafrost)",0
"92",2015-06-08,"Poker (25% permafrost)",2.159
"93",2015-06-09,"French (33% permafrost)",0
"94",2015-06-09,"Moose (38% permafrost)",0
"95",2015-06-09,"Poker (25% permafrost)",0
"96",2015-06-10,"French (33% permafrost)",1.016
"97",2015-06-10,"Moose (38% permafrost)",0.254
"98",2015-06-10,"Poker (25% permafrost)",1.27
"99",2015-06-11,"French (33% permafrost)",0.762
"100",2015-06-11,"Moose (38% permafrost)",0.762
"101",2015-06-11,"Poker (25% permafrost)",2.413
"102",2015-06-12,"French (33% permafrost)",1.778
"103",2015-06-12,"Moose (38% permafrost)",4.064
"104",2015-06-12,"Poker (25% permafrost)",0.127
"105",2015-06-13,"French (33% permafrost)",0
"106",2015-06-13,"Moose (38% permafrost)",0
"107",2015-06-13,"Poker (25% permafrost)",0
"108",2015-06-14,"French (33% permafrost)",0
"109",2015-06-14,"Moose (38% permafrost)",0
"110",2015-06-14,"Poker (25% permafrost)",0
"111",2015-06-15,"French (33% permafrost)",0.254
"112",2015-06-15,"Moose (38% permafrost)",0
"113",2015-06-15,"Poker (25% permafrost)",0
"114",2015-06-16,"French (33% permafrost)",0
"115",2015-06-16,"Moose (38% permafrost)",0
"116",2015-06-16,"Poker (25% permafrost)",0
"117",2015-06-17,"French (33% permafrost)",0
"118",2015-06-17,"Moose (38% permafrost)",0
"119",2015-06-17,"Poker (25% permafrost)",0
"120",2015-06-18,"French (33% permafrost)",0
"121",2015-06-18,"Moose (38% permafrost)",0
"122",2015-06-18,"Poker (25% permafrost)",0
"123",2015-06-19,"French (33% permafrost)",7.112
"124",2015-06-19,"Moose (38% permafrost)",0
"125",2015-06-19,"Poker (25% permafrost)",0
"126",2015-06-20,"French (33% permafrost)",0
"127",2015-06-20,"Poker (25% permafrost)",0.381
"128",2015-06-21,"French (33% permafrost)",2.032
"129",2015-06-21,"Poker (25% permafrost)",0.127
"130",2015-06-22,"French (33% permafrost)",0
"131",2015-06-22,"Moose (38% permafrost)",0
"132",2015-06-22,"Poker (25% permafrost)",0
"133",2015-06-23,"French (33% permafrost)",0
"134",2015-06-23,"Moose (38% permafrost)",0
"135",2015-06-23,"Poker (25% permafrost)",0
"136",2015-06-24,"French (33% permafrost)",0
"137",2015-06-24,"Moose (38% permafrost)",0
"138",2015-06-24,"Poker (25% permafrost)",0
"139",2015-06-25,"French (33% permafrost)",0
"140",2015-06-25,"Moose (38% permafrost)",0
"141",2015-06-25,"Poker (25% permafrost)",0
"142",2015-06-26,"French (33% permafrost)",0.254
"143",2015-06-26,"Moose (38% permafrost)",0
"144",2015-06-26,"Poker (25% permafrost)",0.381
"145",2015-06-27,"French (33% permafrost)",5.08
"146",2015-06-27,"Moose (38% permafrost)",5.334
"147",2015-06-27,"Poker (25% permafrost)",7.874
"148",2015-06-28,"French (33% permafrost)",1.016
"149",2015-06-28,"Moose (38% permafrost)",0.762
"150",2015-06-28,"Poker (25% permafrost)",0.381
"151",2015-06-29,"French (33% permafrost)",5.08
"152",2015-06-29,"Moose (38% permafrost)",0
"153",2015-06-29,"Poker (25% permafrost)",0
"154",2015-06-30,"French (33% permafrost)",1.778
"155",2015-06-30,"Moose (38% permafrost)",0.254
"156",2015-06-30,"Poker (25% permafrost)",0
"157",2015-07-01,"French (33% permafrost)",10.16
"158",2015-07-01,"Moose (38% permafrost)",5.08
"159",2015-07-01,"Poker (25% permafrost)",0.508
"160",2015-07-02,"French (33% permafrost)",25.4
"161",2015-07-02,"Moose (38% permafrost)",20.574
"162",2015-07-02,"Poker (25% permafrost)",0.508
"163",2015-07-03,"French (33% permafrost)",0
"164",2015-07-03,"Moose (38% permafrost)",0
"165",2015-07-03,"Poker (25% permafrost)",0
"166",2015-07-04,"French (33% permafrost)",0
"167",2015-07-04,"Moose (38% permafrost)",0
"168",2015-07-04,"Poker (25% permafrost)",0
"169",2015-07-05,"French (33% permafrost)",0
"170",2015-07-05,"Moose (38% permafrost)",0.508
"171",2015-07-05,"Poker (25% permafrost)",0
"172",2015-07-06,"French (33% permafrost)",0
"173",2015-07-06,"Moose (38% permafrost)",0
"174",2015-07-06,"Poker (25% permafrost)",0
"175",2015-07-07,"French (33% permafrost)",3.556
"176",2015-07-07,"Moose (38% permafrost)",2.794
"177",2015-07-07,"Poker (25% permafrost)",2.286
"178",2015-07-08,"French (33% permafrost)",0.508
"179",2015-07-08,"Moose (38% permafrost)",0
"180",2015-07-08,"Poker (25% permafrost)",0
"181",2015-07-09,"French (33% permafrost)",0
"182",2015-07-09,"Moose (38% permafrost)",0
"183",2015-07-09,"Poker (25% permafrost)",0
"184",2015-07-10,"French (33% permafrost)",0
"185",2015-07-10,"Moose (38% permafrost)",0
"186",2015-07-10,"Poker (25% permafrost)",0
"187",2015-07-11,"French (33% permafrost)",0
"188",2015-07-11,"Moose (38% permafrost)",0
"189",2015-07-11,"Poker (25% permafrost)",0
"190",2015-07-12,"French (33% permafrost)",0
"191",2015-07-12,"Moose (38% permafrost)",0.762
"192",2015-07-12,"Poker (25% permafrost)",0.127
"193",2015-07-13,"French (33% permafrost)",0.254
"194",2015-07-13,"Moose (38% permafrost)",1.27
"195",2015-07-13,"Poker (25% permafrost)",4.953
"196",2015-07-14,"French (33% permafrost)",9.398
"197",2015-07-14,"Moose (38% permafrost)",2.794
"198",2015-07-14,"Poker (25% permafrost)",10.797
"199",2015-07-15,"French (33% permafrost)",0.762
"200",2015-07-15,"Moose (38% permafrost)",0.508
"201",2015-07-15,"Poker (25% permafrost)",1.27
"202",2015-07-16,"French (33% permafrost)",0
"203",2015-07-16,"Moose (38% permafrost)",0
"204",2015-07-16,"Poker (25% permafrost)",1.143
"205",2015-07-17,"French (33% permafrost)",1.524
"206",2015-07-17,"Moose (38% permafrost)",0.762
"207",2015-07-17,"Poker (25% permafrost)",0.889
"208",2015-07-18,"French (33% permafrost)",3.81
"209",2015-07-18,"Moose (38% permafrost)",3.048
"210",2015-07-18,"Poker (25% permafrost)",10.795
"211",2015-07-19,"French (33% permafrost)",11.176
"212",2015-07-19,"Moose (38% permafrost)",4.318
"213",2015-07-19,"Poker (25% permafrost)",8.382
"214",2015-07-20,"French (33% permafrost)",9.652
"215",2015-07-20,"Moose (38% permafrost)",4.826
"216",2015-07-20,"Poker (25% permafrost)",3.429
"217",2015-07-21,"French (33% permafrost)",0
"218",2015-07-21,"Moose (38% permafrost)",0
"219",2015-07-21,"Poker (25% permafrost)",0.127
"220",2015-07-22,"French (33% permafrost)",0
"221",2015-07-22,"Moose (38% permafrost)",0
"222",2015-07-22,"Poker (25% permafrost)",0
"223",2015-07-23,"French (33% permafrost)",0
"224",2015-07-23,"Moose (38% permafrost)",0
"225",2015-07-23,"Poker (25% permafrost)",0
"226",2015-07-24,"French (33% permafrost)",1.016
"227",2015-07-24,"Moose (38% permafrost)",0
"228",2015-07-24,"Poker (25% permafrost)",0
"229",2015-07-25,"French (33% permafrost)",0.508
"230",2015-07-25,"Moose (38% permafrost)",0
"231",2015-07-25,"Poker (25% permafrost)",0
"232",2015-07-26,"French (33% permafrost)",0.254
"233",2015-07-26,"Moose (38% permafrost)",0
"234",2015-07-26,"Poker (25% permafrost)",18.54
"235",2015-07-27,"French (33% permafrost)",31.242
"236",2015-07-27,"Moose (38% permafrost)",7.62
"237",2015-07-27,"Poker (25% permafrost)",15.494
"238",2015-07-28,"French (33% permafrost)",14.224
"239",2015-07-28,"Moose (38% permafrost)",8.382
"240",2015-07-28,"Poker (25% permafrost)",2.794
"241",2015-07-29,"French (33% permafrost)",0
"242",2015-07-29,"Moose (38% permafrost)",5.588
"243",2015-07-29,"Poker (25% permafrost)",7.241
"244",2015-07-30,"French (33% permafrost)",1.27
"245",2015-07-30,"Moose (38% permafrost)",1.778
"246",2015-07-30,"Poker (25% permafrost)",2.667
"247",2015-07-31,"French (33% permafrost)",0
"248",2015-07-31,"Moose (38% permafrost)",0
"249",2015-07-31,"Poker (25% permafrost)",3.048
"250",2015-08-01,"French (33% permafrost)",0
"251",2015-08-01,"Moose (38% permafrost)",0
"252",2015-08-01,"Poker (25% permafrost)",3.937
"253",2015-08-02,"French (33% permafrost)",2.286
"254",2015-08-02,"Moose (38% permafrost)",2.54
"255",2015-08-02,"Poker (25% permafrost)",1.016
"256",2015-08-03,"French (33% permafrost)",0
"257",2015-08-03,"Moose (38% permafrost)",0
"258",2015-08-03,"Poker (25% permafrost)",0.127
"259",2015-08-04,"French (33% permafrost)",0
"260",2015-08-04,"Moose (38% permafrost)",0
"261",2015-08-04,"Poker (25% permafrost)",0
"262",2015-08-05,"French (33% permafrost)",1.016
"263",2015-08-05,"Moose (38% permafrost)",0
"264",2015-08-05,"Poker (25% permafrost)",0.381
"265",2015-08-06,"French (33% permafrost)",2.286
"266",2015-08-06,"Moose (38% permafrost)",7.112
"267",2015-08-06,"Poker (25% permafrost)",0
"268",2015-08-07,"French (33% permafrost)",0
"269",2015-08-07,"Moose (38% permafrost)",0
"270",2015-08-07,"Poker (25% permafrost)",0
"271",2015-08-08,"French (33% permafrost)",0
"272",2015-08-08,"Moose (38% permafrost)",0
"273",2015-08-08,"Poker (25% permafrost)",0.762
"274",2015-08-09,"French (33% permafrost)",2.54
"275",2015-08-09,"Moose (38% permafrost)",2.032
"276",2015-08-09,"Poker (25% permafrost)",3.556
"277",2015-08-10,"French (33% permafrost)",5.588
"278",2015-08-10,"Moose (38% permafrost)",3.556
"279",2015-08-10,"Poker (25% permafrost)",12.446
"280",2015-08-11,"French (33% permafrost)",0.254
"281",2015-08-11,"Moose (38% permafrost)",0.254
"282",2015-08-11,"Poker (25% permafrost)",1.143
"283",2015-08-12,"French (33% permafrost)",1.524
"284",2015-08-12,"Moose (38% permafrost)",0
"285",2015-08-12,"Poker (25% permafrost)",2.54
"286",2015-08-13,"French (33% permafrost)",5.08
"287",2015-08-13,"Moose (38% permafrost)",1.524
"288",2015-08-13,"Poker (25% permafrost)",1.778
"289",2015-08-14,"French (33% permafrost)",0
"290",2015-08-14,"Moose (38% permafrost)",0
"291",2015-08-14,"Poker (25% permafrost)",0
"292",2015-08-15,"French (33% permafrost)",0
"293",2015-08-15,"Moose (38% permafrost)",0
"294",2015-08-15,"Poker (25% permafrost)",1.143
"295",2015-08-16,"French (33% permafrost)",6.604
"296",2015-08-16,"Moose (38% permafrost)",0.762
"297",2015-08-16,"Poker (25% permafrost)",5.334
"298",2015-08-17,"French (33% permafrost)",0.508
"299",2015-08-17,"Moose (38% permafrost)",1.27
"300",2015-08-17,"Poker (25% permafrost)",5.969
"301",2015-08-18,"French (33% permafrost)",4.826
"302",2015-08-18,"Moose (38% permafrost)",1.778
"303",2015-08-18,"Poker (25% permafrost)",10.541
"304",2015-08-19,"French (33% permafrost)",5.842
"305",2015-08-19,"Moose (38% permafrost)",6.858
"306",2015-08-19,"Poker (25% permafrost)",1.651
"307",2015-08-20,"French (33% permafrost)",3.81
"308",2015-08-20,"Moose (38% permafrost)",0.762
"309",2015-08-20,"Poker (25% permafrost)",0.254
"310",2015-08-21,"French (33% permafrost)",0
"311",2015-08-21,"Moose (38% permafrost)",0
"312",2015-08-21,"Poker (25% permafrost)",0
"313",2015-08-22,"French (33% permafrost)",0
"314",2015-08-22,"Moose (38% permafrost)",0
"315",2015-08-22,"Poker (25% permafrost)",0
"316",2015-08-23,"French (33% permafrost)",4.826
"317",2015-08-23,"Moose (38% permafrost)",0.762
"318",2015-08-23,"Poker (25% permafrost)",0.889
"319",2015-08-24,"French (33% permafrost)",2.286
"320",2015-08-24,"Moose (38% permafrost)",1.016
"321",2015-08-24,"Poker (25% permafrost)",0.889
"322",2015-08-25,"French (33% permafrost)",1.524
"323",2015-08-25,"Moose (38% permafrost)",0
"324",2015-08-25,"Poker (25% permafrost)",18.669
"325",2015-08-26,"French (33% permafrost)",18.542
"326",2015-08-26,"Moose (38% permafrost)",1.016
"327",2015-08-26,"Poker (25% permafrost)",30.988
"328",2015-08-27,"French (33% permafrost)",12.954
"329",2015-08-27,"Moose (38% permafrost)",1.27
"330",2015-08-27,"Poker (25% permafrost)",14.859
"331",2015-08-28,"French (33% permafrost)",0.254
"332",2015-08-28,"Moose (38% permafrost)",0.762
"333",2015-08-28,"Poker (25% permafrost)",0.254
"334",2015-08-29,"French (33% permafrost)",4.572
"335",2015-08-29,"Moose (38% permafrost)",1.016
"336",2015-08-29,"Poker (25% permafrost)",2.54
"337",2015-08-30,"French (33% permafrost)",5.334
"338",2015-08-30,"Moose (38% permafrost)",0.762
"339",2015-08-30,"Poker (25% permafrost)",3.81
"340",2015-08-31,"French (33% permafrost)",2.286
"341",2015-08-31,"Moose (38% permafrost)",1.524
"342",2015-08-31,"Poker (25% permafrost)",0
"343",2015-09-01,"French (33% permafrost)",0
"344",2015-09-01,"Moose (38% permafrost)",0
"345",2015-09-01,"Poker (25% permafrost)",0
"346",2015-09-02,"French (33% permafrost)",0
"347",2015-09-02,"Moose (38% permafrost)",0
"348",2015-09-02,"Poker (25% permafrost)",0
"349",2015-09-03,"French (33% permafrost)",0
"350",2015-09-03,"Moose (38% permafrost)",0
"351",2015-09-03,"Poker (25% permafrost)",0
"352",2015-09-04,"French (33% permafrost)",0
"353",2015-09-04,"Moose (38% permafrost)",0
"354",2015-09-04,"Poker (25% permafrost)",0
"355",2015-09-05,"French (33% permafrost)",0
"356",2015-09-05,"Moose (38% permafrost)",0
"357",2015-09-05,"Poker (25% permafrost)",0
"358",2015-09-06,"French (33% permafrost)",0
"359",2015-09-06,"Moose (38% permafrost)",0
"360",2015-09-06,"Poker (25% permafrost)",0
"361",2015-09-07,"French (33% permafrost)",0
"362",2015-09-07,"Moose (38% permafrost)",0
"363",2015-09-07,"Poker (25% permafrost)",1.016
"364",2015-09-08,"French (33% permafrost)",0.762
"365",2015-09-08,"Moose (38% permafrost)",0.762
"366",2015-09-08,"Poker (25% permafrost)",0.508
"367",2015-09-09,"French (33% permafrost)",0
"368",2015-09-09,"Moose (38% permafrost)",0
"369",2015-09-09,"Poker (25% permafrost)",0.381
"370",2015-09-10,"French (33% permafrost)",0
"371",2015-09-10,"Moose (38% permafrost)",0
"372",2015-09-10,"Poker (25% permafrost)",0.127
"373",2015-09-11,"French (33% permafrost)",0
"374",2015-09-11,"Moose (38% permafrost)",0
"375",2015-09-11,"Poker (25% permafrost)",0
"376",2015-09-12,"French (33% permafrost)",4.318
"377",2015-09-12,"Moose (38% permafrost)",3.048
"378",2015-09-12,"Poker (25% permafrost)",1.524
"379",2015-09-13,"French (33% permafrost)",2.54
"380",2015-09-13,"Moose (38% permafrost)",1.778
"381",2015-09-13,"Poker (25% permafrost)",17.272
"382",2015-09-14,"French (33% permafrost)",4.826
"383",2015-09-14,"Moose (38% permafrost)",8.128
"384",2015-09-14,"Poker (25% permafrost)",17.907
"385",2015-09-15,"French (33% permafrost)",5.334
"386",2015-09-15,"Moose (38% permafrost)",3.556
"387",2015-09-15,"Poker (25% permafrost)",0.508
"388",2015-09-16,"French (33% permafrost)",3.302
"389",2015-09-16,"Moose (38% permafrost)",5.334
"390",2015-09-16,"Poker (25% permafrost)",2.032
"391",2015-09-17,"French (33% permafrost)",5.334
"392",2015-09-17,"Moose (38% permafrost)",7.366
"393",2015-09-17,"Poker (25% permafrost)",0.127
"394",2015-09-18,"French (33% permafrost)",0.762
"395",2015-09-18,"Moose (38% permafrost)",0.254
"396",2015-09-18,"Poker (25% permafrost)",0.635
"397",2015-09-19,"French (33% permafrost)",0.762
"398",2015-09-19,"Moose (38% permafrost)",0.508
"399",2015-09-19,"Poker (25% permafrost)",0.635
"400",2015-09-20,"French (33% permafrost)",0
"401",2015-09-20,"Moose (38% permafrost)",0
"402",2015-09-20,"Poker (25% permafrost)",0
"403",2015-09-21,"French (33% permafrost)",0
"404",2015-09-21,"Moose (38% permafrost)",0
"405",2015-09-21,"Poker (25% permafrost)",0
"406",2015-09-22,"Poker (25% permafrost)",0
"407",2015-09-23,"Poker (25% permafrost)",0
"408",2015-09-24,"Poker (25% permafrost)",0
"409",2015-09-25,"Poker (25% permafrost)",0.127
"410",2015-09-26,"Poker (25% permafrost)",9.017
"411",2015-09-27,"Poker (25% permafrost)",7.239
"412",2015-09-28,"Poker (25% permafrost)",14.605
"413",2015-09-29,"Poker (25% permafrost)",0
"414",2015-09-30,"Poker (25% permafrost)",0
"415",2015-10-01,"Poker (25% permafrost)",0
"416",2015-10-02,"Poker (25% permafrost)",0
"417",2015-10-03,"Poker (25% permafrost)",0
"418",2015-10-04,"Poker (25% permafrost)",0
"419",2015-10-05,"Poker (25% permafrost)",0
"420",2015-10-06,"Poker (25% permafrost)",0
"421",2015-10-07,"Poker (25% permafrost)",0
"422",2015-10-08,"Poker (25% permafrost)",0
"423",2015-10-09,"Poker (25% permafrost)",0
"424",2015-10-10,"Poker (25% permafrost)",0
"425",2015-10-11,"Poker (25% permafrost)",0
"426",2015-10-12,"Poker (25% permafrost)",0
"427",2015-10-13,"Poker (25% permafrost)",0
"428",2015-10-14,"Poker (25% permafrost)",0
"429",2015-10-15,"Poker (25% permafrost)",0
"430",2015-10-16,"Poker (25% permafrost)",0
"431",2015-10-17,"Poker (25% permafrost)",0
"432",2015-10-18,"Poker (25% permafrost)",0
"433",2015-10-19,"Poker (25% permafrost)",0
"434",2015-10-20,"Poker (25% permafrost)",0
"435",2015-10-21,"Poker (25% permafrost)",0
"436",2015-10-22,"Poker (25% permafrost)",0
"437",2015-10-23,"Poker (25% permafrost)",0
"438",2015-10-24,"Poker (25% permafrost)",0
"439",2015-10-25,"Poker (25% permafrost)",0
"440",2015-10-26,"Poker (25% permafrost)",0
"441",2015-10-27,"Poker (25% permafrost)",0
"442",2015-10-28,"Poker (25% permafrost)",0
"443",2015-10-29,"Poker (25% permafrost)",0
"444",2015-10-30,"Poker (25% permafrost)",0
"445",2015-10-31,"Poker (25% permafrost)",0
"446",NA,"French (33% permafrost)",1.524
