inst_rainfall_mm,DateTime,Site
0.2,2020-08-02T04:00:00Z,FRCH
0.2,2020-08-02T17:00:00Z,FRCH
0.2,2020-08-03T07:45:00Z,FRCH
0.2,2020-08-03T08:15:00Z,FRCH
0.4,2020-08-03T08:45:00Z,FRCH
0.4,2020-08-03T09:00:00Z,FRCH
0.2,2020-08-03T09:15:00Z,FRCH
0.6000000000000001,2020-08-03T09:30:00Z,FRCH
0.4,2020-08-03T09:45:00Z,FRCH
0.4,2020-08-03T10:00:00Z,FRCH
0.8,2020-08-03T10:15:00Z,FRCH
0.6000000000000001,2020-08-03T10:30:00Z,FRCH
0.6000000000000001,2020-08-03T10:45:00Z,FRCH
0.8,2020-08-03T11:00:00Z,FRCH
0.4,2020-08-03T11:15:00Z,FRCH
0.6000000000000001,2020-08-03T11:30:00Z,FRCH
0.6000000000000001,2020-08-03T11:45:00Z,FRCH
0.4,2020-08-03T12:00:00Z,FRCH
0.2,2020-08-03T12:15:00Z,FRCH
0.6000000000000001,2020-08-03T12:30:00Z,FRCH
0.8,2020-08-03T12:45:00Z,FRCH
0.4,2020-08-03T13:00:00Z,FRCH
0.8,2020-08-03T13:15:00Z,FRCH
0.6000000000000001,2020-08-03T13:30:00Z,FRCH
0.6000000000000001,2020-08-03T13:45:00Z,FRCH
0.2,2020-08-03T14:00:00Z,FRCH
0.2,2020-08-03T14:15:00Z,FRCH
0.2,2020-08-03T14:30:00Z,FRCH
0.2,2020-08-03T15:00:00Z,FRCH
0.2,2020-08-03T16:00:00Z,FRCH
0.2,2020-08-03T16:45:00Z,FRCH
0.2,2020-08-05T16:15:00Z,FRCH
0.8,2020-08-06T15:00:00Z,FRCH
0.2,2020-08-06T15:15:00Z,FRCH
0.2,2020-08-08T05:45:00Z,FRCH
0.2,2020-08-08T06:15:00Z,FRCH
4,2020-08-09T19:00:00Z,FRCH
0.6000000000000001,2020-08-09T19:15:00Z,FRCH
0.2,2020-08-09T19:30:00Z,FRCH
0.8,2020-08-09T20:15:00Z,FRCH
0.4,2020-08-09T21:00:00Z,FRCH
0.2,2020-08-09T21:15:00Z,FRCH
1.2000000000000002,2020-08-09T22:00:00Z,FRCH
2.2,2020-08-09T22:15:00Z,FRCH
0.2,2020-08-09T22:30:00Z,FRCH
0.2,2020-08-09T22:45:00Z,FRCH
0.2,2020-08-09T23:00:00Z,FRCH
0.4,2020-08-09T23:15:00Z,FRCH
0.6000000000000001,2020-08-09T23:30:00Z,FRCH
0.2,2020-08-09T23:45:00Z,FRCH
0.2,2020-08-10T00:45:00Z,FRCH
0.4,2020-08-10T01:30:00Z,FRCH
0.2,2020-08-10T01:45:00Z,FRCH
0.6000000000000001,2020-08-10T02:00:00Z,FRCH
0.4,2020-08-10T02:15:00Z,FRCH
0.4,2020-08-10T02:30:00Z,FRCH
0.2,2020-08-10T02:45:00Z,FRCH
0.4,2020-08-10T03:15:00Z,FRCH
0.6000000000000001,2020-08-10T03:30:00Z,FRCH
0.4,2020-08-10T03:45:00Z,FRCH
