"","site.ID","datetimeAK","Q","day","fDOM","SPC","Turb","NO3","DateTime","MeanDischarge","nitrateuM","fDOM.QSU.mn","SpCond.uScm.mn","Turbidity.FNU.mn"
"36","VAUL",2019-07-29 22:15:00,107.158199774773,2019-07-29,229.871,508.25,7.197,11.3390548172977,2019-07-29 22:15:00,107.158199774773,11.3390548172977,229.871,508.25,7.197
"37","VAUL",2019-07-29 22:30:00,107.358870560869,2019-07-29,226.681,507.03,9.497,11.1830425567671,2019-07-29 22:30:00,107.358870560869,11.1830425567671,226.681,507.03,9.497
"38","VAUL",2019-07-29 22:45:00,107.158199774773,2019-07-29,221.725,505.79,13.716,11.0770719647086,2019-07-29 22:45:00,107.158199774773,11.0770719647086,221.725,505.79,13.716
"39","VAUL",2019-07-29 23:00:00,107.960882919154,2019-07-29,216.943,504.77,20.069,10.9510847052612,2019-07-29 23:00:00,107.960882919154,10.9510847052612,216.943,504.77,20.069
"40","VAUL",2019-07-29 23:15:00,107.960882919154,2019-07-29,215.466,504.35,19.417,10.9151724490635,2019-07-29 23:15:00,107.960882919154,10.9151724490635,215.466,504.35,19.417
"41","VAUL",2019-07-29 23:30:00,107.760212133059,2019-07-29,217.085,504.43,16.05,10.9422538225897,2019-07-29 23:30:00,107.760212133059,10.9422538225897,217.085,504.43,16.05
"42","VAUL",2019-07-29 23:45:00,107.760212133059,2019-07-29,220.232,504.7,14.012,10.952262156284,2019-07-29 23:45:00,107.760212133059,10.952262156284,220.232,504.7,14.012
"43","VAUL",2019-07-30 00:00:00,107.358870560869,2019-07-30,223.182,504.97,10.664,10.8792601928659,2019-07-30 00:00:00,107.358870560869,10.8792601928659,223.182,504.97,10.664
"44","VAUL",2019-07-30 00:15:00,107.358870560869,2019-07-30,225.136,504.87,9.305,10.9163499000864,2019-07-30 00:15:00,107.358870560869,10.9163499000864,225.136,504.87,9.305
"45","VAUL",2019-07-30 00:30:00,107.358870560869,2019-07-30,226.248,504.38,8.362,10.8262748968367,2019-07-30 00:30:00,107.358870560869,10.8262748968367,226.248,504.38,8.362
"46","VAUL",2019-07-30 00:45:00,107.158199774773,2019-07-30,227.005,503.43,7.6,10.8192101906994,2019-07-30 00:45:00,107.158199774773,10.8192101906994,227.005,503.43,7.6
"47","VAUL",2019-07-30 01:00:00,107.358870560869,2019-07-30,227.403,502.58,7.227,10.8221538182566,2019-07-30 01:00:00,107.358870560869,10.8221538182566,227.403,502.58,7.227
"48","VAUL",2019-07-30 01:15:00,107.158199774773,2019-07-30,227.757,501.75,7.334,10.7150057751752,2019-07-30 01:15:00,107.158199774773,10.7150057751752,227.757,501.75,7.334
"49","VAUL",2019-07-30 01:30:00,107.158199774773,2019-07-30,227.918,500.79,7.007,10.735022442564,2019-07-30 01:30:00,107.158199774773,10.735022442564,227.918,500.79,7.007
"50","VAUL",2019-07-30 01:45:00,107.158199774773,2019-07-30,228.04,500.27,7.15,10.7320788150069,2019-07-30 01:45:00,107.158199774773,10.7320788150069,228.04,500.27,7.15
"51","VAUL",2019-07-30 02:00:00,106.756858202583,2019-07-30,228.039,499.76,6.945,10.8227425437681,2019-07-30 02:00:00,106.756858202583,10.8227425437681,228.039,499.76,6.945
"52","VAUL",2019-07-30 02:15:00,107.559541346964,2019-07-30,228.041,499.58,7.062,10.7138283241523,2019-07-30 02:15:00,107.559541346964,10.7138283241523,228.041,499.58,7.062
"53","VAUL",2019-07-30 02:30:00,107.358870560869,2019-07-30,228.101,499.39,7.19,10.9045753898577,2019-07-30 02:30:00,107.358870560869,10.9045753898577,228.101,499.39,7.19
"54","VAUL",2019-07-30 02:45:00,107.158199774773,2019-07-30,228.118,499.1,7.342,10.8303959754167,2019-07-30 02:45:00,107.158199774773,10.8303959754167,228.118,499.1,7.342
