"","site.ID","year","storm.num","response","HI","precip","temp","precip.week","precip.month","ThreeMonth","temp.week","TOTAL.TIME","Intensity","doy","burn","pf"
"15","VAUL","2019","storm4b","fDOM",-0.238735464765009,5.8,11.8090676100629,53,90.2,117,12.56675,52.5,0.11047619047619,214.395833333333,"unburned","high"
"16","VAUL","2019","storm4c","fDOM",-0.41573178042768,19.4,12.6999312617702,58.2,96,122.8,12.6462712031558,176.5,0.109915014164306,216.604166666667,"unburned","high"
"17","VAUL","2019","storm5","fDOM",0.106802341692517,22.8,11.5642789855073,15.8,98.4,143.4,12.6743571428571,68.5,0.332846715328467,224.0625,"unburned","high"
"18","VAUL","2019","storm6","fDOM",0.0221266502544254,4.4,8.67860416666666,40.6,126.4,171.4,12.4727874503968,65.5,0.067175572519084,227.020833333333,"unburned","high"
"19","VAUL","2019","storm7","fDOM",-0.39689158461893,1,4.24604783950617,11.6,21,182.8,7.38429807692308,26.5,0.0377358490566038,261.270833333333,"unburned","high"
"20","VAUL","2019","storm8a","fDOM",-0.0173908237234037,2.2,3.43580853174603,8.6,26.6,187.6,2.17696428571429,41.5,0.0530120481927711,271.604166666667,"unburned","high"
"21","VAUL","2019","storm8b","fDOM",0.319838704219493,13.8,-0.0829940476190477,19.2,37.2,194,2.6145753968254,55.5,0.248648648648649,274.020833333333,"unburned","high"
"22","VAUL","2019","storm8c","fDOM",0.0890404589111393,12.8,-2.08986666666667,32.8,50.8,207.6,2.36590500992064,119.5,0.107112970711297,276.354166666667,"unburned","high"
"23","VAUL","2019","storm1","SPC",0.834473324213406,1.4,16.0369270833333,18.2,32.8,45,18.8151621756487,47.5,0.0294736842105263,193.395833333333,"unburned","high"
"24","VAUL","2019","storm2","SPC",0.942099574794865,5,11.953796474359,13,40.2,62.8,16.418003742515,51.5,0.0970873786407767,206.229166666667,"unburned","high"
"25","VAUL","2019","storm3","SPC",0.889889636959392,1.8,12.5442170138889,26.6,49.6,76.4,15.3729645337302,47.5,0.0378947368421053,209.395833333333,"unburned","high"
"26","VAUL","2019","storm4a","SPC",0.804742552342248,17.8,12.866746031746,32.8,69.8,96.6,12.2809856150794,20.5,0.868292682926829,213.395833333333,"unburned","high"
"27","VAUL","2019","storm4b","SPC",0.5,5.8,11.8090676100629,53,90.2,117,12.56675,52.5,0.11047619047619,214.395833333333,"unburned","high"
"28","VAUL","2019","storm4c","SPC",-0.212659431640188,19.4,12.6999312617702,58.2,96,122.8,12.6462712031558,176.5,0.109915014164306,216.604166666667,"unburned","high"
"29","VAUL","2019","storm5","SPC",0.77498017446471,22.8,11.5642789855073,15.8,98.4,143.4,12.6743571428571,68.5,0.332846715328467,224.0625,"unburned","high"
"30","VAUL","2019","storm6","SPC",0.784057971014492,4.4,8.67860416666666,40.6,126.4,171.4,12.4727874503968,65.5,0.067175572519084,227.020833333333,"unburned","high"
"31","VAUL","2019","storm7","SPC",0.826013513513513,1,4.24604783950617,11.6,21,182.8,7.38429807692308,26.5,0.0377358490566038,261.270833333333,"unburned","high"
"32","VAUL","2019","storm8a","SPC",0.953964757709251,2.2,3.43580853174603,8.6,26.6,187.6,2.17696428571429,41.5,0.0530120481927711,271.604166666667,"unburned","high"
"33","VAUL","2019","storm8b","SPC",0.847733711048158,13.8,-0.0829940476190477,19.2,37.2,194,2.6145753968254,55.5,0.248648648648649,274.020833333333,"unburned","high"
"34","VAUL","2019","storm8c","SPC",0.354690117252937,12.8,-2.08986666666667,32.8,50.8,207.6,2.36590500992064,119.5,0.107112970711297,276.354166666667,"unburned","high"
"35","VAUL","2019","storm1","turb",-0.0229406772701143,1.4,16.0369270833333,18.2,32.8,45,18.8151621756487,47.5,0.0294736842105263,193.395833333333,"unburned","high"
"36","VAUL","2019","storm2","turb",-0.0179260597192374,5,11.953796474359,13,40.2,62.8,16.418003742515,51.5,0.0970873786407767,206.229166666667,"unburned","high"
"37","VAUL","2019","storm3","turb",0.0171211787156074,1.8,12.5442170138889,26.6,49.6,76.4,15.3729645337302,47.5,0.0378947368421053,209.395833333333,"unburned","high"
"38","VAUL","2019","storm4c","turb",0.0624785444558874,19.4,12.6999312617702,58.2,96,122.8,12.6462712031558,176.5,0.109915014164306,216.604166666667,"unburned","high"
"39","VAUL","2019","storm5","turb",0.278405448717949,22.8,11.5642789855073,15.8,98.4,143.4,12.6743571428571,68.5,0.332846715328467,224.0625,"unburned","high"
"40","VAUL","2019","storm6","turb",0.179354412250744,4.4,8.67860416666666,40.6,126.4,171.4,12.4727874503968,65.5,0.067175572519084,227.020833333333,"unburned","high"
"41","VAUL","2019","storm7","turb",0.159090909090909,1,4.24604783950617,11.6,21,182.8,7.38429807692308,26.5,0.0377358490566038,261.270833333333,"unburned","high"
"42","VAUL","2019","storm8a","turb",-0.159937252762243,2.2,3.43580853174603,8.6,26.6,187.6,2.17696428571429,41.5,0.0530120481927711,271.604166666667,"unburned","high"
"43","VAUL","2019","storm8b","turb",0.126305324099124,13.8,-0.0829940476190477,19.2,37.2,194,2.6145753968254,55.5,0.248648648648649,274.020833333333,"unburned","high"
"44","VAUL","2019","storm8c","turb",-0.030505700417654,12.8,-2.08986666666667,32.8,50.8,207.6,2.36590500992064,119.5,0.107112970711297,276.354166666667,"unburned","high"
"45","VAUL","2019","storm1","abs",-0.659114428383093,1.4,16.0369270833333,18.2,32.8,45,NA,47.5,0.0294736842105263,193.395833333333,"unburned","high"
"46","VAUL","2019","storm2","abs",-0.29689179671572,5,11.953796474359,13,40.2,62.8,NA,51.5,0.0970873786407767,206.229166666667,"unburned","high"
"47","VAUL","2019","storm3","abs",-0.0158038353672398,1.8,12.5442170138889,26.6,49.6,76.4,NA,47.5,0.0378947368421053,209.395833333333,"unburned","high"
"48","VAUL","2019","storm5","abs",-0.33454799841293,22.8,11.5642789855073,15.8,98.4,143.4,NA,68.5,0.332846715328467,224.0625,"unburned","high"
"49","VAUL","2019","storm6","abs",-0.375372911694519,4.4,8.67860416666666,40.6,126.4,171.4,NA,65.5,0.067175572519084,227.020833333333,"unburned","high"
"50","VAUL","2019","storm7","abs",-0.378878905025605,1,4.24604783950617,11.6,21,182.8,NA,26.5,0.0377358490566038,261.270833333333,"unburned","high"
"51","VAUL","2019","storm8a","abs",-0.305703903540166,2.2,3.43580853174603,8.6,26.6,187.6,NA,41.5,0.0530120481927711,271.604166666667,"unburned","high"
"52","VAUL","2019","storm8b","abs",-0.317405195165996,13.8,-0.0829940476190477,19.2,37.2,194,NA,55.5,0.248648648648649,274.020833333333,"unburned","high"
"53","VAUL","2019","storm8c","abs",-0.121785116420636,12.8,-2.08986666666667,32.8,50.8,207.6,NA,119.5,0.107112970711297,276.354166666667,"unburned","high"
