"","site.ID","datetimeAK","Q","day","fDOM.QSU","SpCond.µS.cm","Turbidity.FNU","nitrateuM","DateTime","MeanDischarge","SpCond.uScm"
"22","STRT",2020-06-22 13:00:00,4445.71566637274,2020-06-22 08:00:00,128.290909090909,68.3636363636364,57.8554545454545,21.1093296183843,2020-06-22 13:00:00,4445.71566637274,68.3636363636364
"23","STRT",2020-06-22 13:15:00,4476.53966392693,2020-06-22 08:00:00,128.216363636364,68.2818181818182,59.5563636363636,21.1667727474139,2020-06-22 13:15:00,4476.53966392693,68.2818181818182
"24","STRT",2020-06-22 13:30:00,4504.60380623996,2020-06-22 08:00:00,128.77,68.2,60.52,21.191715158703,2020-06-22 13:30:00,4504.60380623996,68.2
"25","STRT",2020-06-22 13:45:00,4545.32009208912,2020-06-22 08:00:00,128.002727272727,68.0545454545454,56.5927272727273,21.2045642796702,2020-06-22 13:45:00,4545.32009208912,68.0545454545454
"26","STRT",2020-06-22 14:00:00,4514.76488163049,2020-06-22 08:00:00,128.49,67.9636363636364,61.8963636363636,21.1811335296712,2020-06-22 14:00:00,4514.76488163049,67.9636363636364
"27","STRT",2020-06-22 14:15:00,4575.83931040426,2020-06-22 08:00:00,127.908181818182,67.8818181818182,65.4245454545455,21.2159017393471,2020-06-22 14:15:00,4575.83931040426,67.8818181818182
"28","STRT",2020-06-22 14:30:00,4592.90002389718,2020-06-22 08:00:00,127.77,67.7545454545455,63.9027272727273,21.1743310538652,2020-06-22 14:30:00,4592.90002389718,67.7545454545455
"29","STRT",2020-06-22 14:45:00,4619.85302568512,2020-06-22 08:00:00,127.735454545455,67.7818181818182,65.4863636363636,21.2128784167665,2020-06-22 14:45:00,4619.85302568512,67.7818181818182
"30","STRT",2020-06-22 15:00:00,4652.32573795505,2020-06-22 08:00:00,127.751818181818,67.6818181818182,62.4045454545455,21.1743310538652,2020-06-22 15:00:00,4652.32573795505,67.6818181818182
"31","STRT",2020-06-22 15:15:00,4683.14973550919,2020-06-22 08:00:00,127.91,67.5,69.9654545454545,21.1781102070908,2020-06-22 15:15:00,4683.14973550919,67.5
"32","STRT",2020-06-22 15:30:00,4712.86259253818,2020-06-22 08:00:00,126.27,67.3818181818182,64.5263636363636,21.2007851264446,2020-06-22 15:30:00,4712.86259253818,67.3818181818182
"33","STRT",2020-06-22 15:45:00,4717.27116249513,2020-06-22 08:00:00,127.964545454545,67.4,61.0981818181818,21.1214229087063,2020-06-22 15:45:00,4717.27116249513,67.4
"34","STRT",2020-06-22 16:00:00,4740.65794775594,2020-06-22 08:00:00,125.375454545455,67.3727272727273,73.5163636363636,21.2982872796658,2020-06-22 16:00:00,4740.65794775594,67.3727272727273
"35","STRT",2020-06-22 16:15:00,4794.59994347574,2020-06-22 08:00:00,126.263636363636,67.2636363636364,65.6872727272727,21.2521816103131,2020-06-22 16:15:00,4794.59994347574,67.2636363636364
"36","STRT",2020-06-22 16:30:00,4798.43494709814,2020-06-22 08:00:00,124.856363636364,66.9909090909091,69.1672727272727,21.227239199024,2020-06-22 16:30:00,4798.43494709814,66.9909090909091
"37","STRT",2020-06-22 16:45:00,4812.46701825468,2020-06-22 08:00:00,124.631818181818,67.0727272727273,67.3718181818182,21.3481721022442,2020-06-22 16:45:00,4812.46701825468,67.0727272727273
"38","STRT",2020-06-22 17:00:00,4873.54144702846,2020-06-22 08:00:00,125.52,66.8727272727273,72.3827272727273,21.2620074086998,2020-06-22 17:00:00,4873.54144702846,66.8727272727273
"39","STRT",2020-06-22 17:15:00,4866.94658816507,2020-06-22 08:00:00,124.924545454545,66.7727272727273,69.1472727272727,21.3270088441806,2020-06-22 17:15:00,4866.94658816507,66.7727272727273
"40","STRT",2020-06-22 17:30:00,4913.9889457823,2020-06-22 08:00:00,125.6,66.7090909090909,66.8618181818182,21.2801473441828,2020-06-22 17:30:00,4913.9889457823,66.7090909090909
"41","STRT",2020-06-22 17:45:00,4904.9030187733,2020-06-22 08:00:00,124.341818181818,66.6454545454545,83.8927272727273,21.2718332070864,2020-06-22 17:45:00,4904.9030187733,66.6454545454545
"42","STRT",2020-06-22 18:00:00,4932.96716108633,2020-06-22 08:00:00,124.694545454545,66.6545454545455,68.3690909090909,21.3322996586965,2020-06-22 18:00:00,4932.96716108633,66.6545454545455
"43","STRT",2020-06-22 18:15:00,4942.05308809545,2020-06-22 08:00:00,124.275454545455,66.4818181818182,77.8354545454546,21.3406137957929,2020-06-22 18:15:00,4942.05308809545,66.4818181818182
"44","STRT",2020-06-22 18:30:00,4978.09201689245,2020-06-22 08:00:00,123.985454545455,66.4727272727273,71.88,21.2907289732146,2020-06-22 18:30:00,4978.09201689245,66.4727272727273
"45","STRT",2020-06-22 18:45:00,5004.23865739437,2020-06-22 08:00:00,124.163636363636,66.2727272727273,63.3518181818182,21.3496837635345,2020-06-22 18:45:00,5004.23865739437,66.2727272727273
