"","column_label","HI","Q_interval","storm.ID","site.ID","storm.num","month","day","response"
"Interpolated HI for 70% discharge...85","2",-0.13260062534776,70,"FRCH_storm1_06_21_fDOM","FRCH","storm1","06","21","fDOM"
"Interpolated HI for 72% discharge...86","2",-0.285564142693763,72,"FRCH_storm1_06_21_fDOM","FRCH","storm1","06","21","fDOM"
"Interpolated HI for 74% discharge...87","2",-0.340483845539694,74,"FRCH_storm1_06_21_fDOM","FRCH","storm1","06","21","fDOM"
"Interpolated HI for 76% discharge...88","2",-0.381614516974664,76,"FRCH_storm1_06_21_fDOM","FRCH","storm1","06","21","fDOM"
"Interpolated HI for 78% discharge...89","2",-0.370572427225858,78,"FRCH_storm1_06_21_fDOM","FRCH","storm1","06","21","fDOM"
"Interpolated HI for 80% discharge...90","2",-0.365923452750391,80,"FRCH_storm1_06_21_fDOM","FRCH","storm1","06","21","fDOM"
"Interpolated HI for 82% discharge...91","2",-0.381143792395952,82,"FRCH_storm1_06_21_fDOM","FRCH","storm1","06","21","fDOM"
"Interpolated HI for 84% discharge...92","2",-0.117893176385074,84,"FRCH_storm1_06_21_fDOM","FRCH","storm1","06","21","fDOM"
"Interpolated HI for 86% discharge...93","2",-0.100575520794423,86,"FRCH_storm1_06_21_fDOM","FRCH","storm1","06","21","fDOM"
"Interpolated HI for 88% discharge...94","2",-0.11006567729612,88,"FRCH_storm1_06_21_fDOM","FRCH","storm1","06","21","fDOM"
"Interpolated HI for 90% discharge...95","2",-0.046845237756805,90,"FRCH_storm1_06_21_fDOM","FRCH","storm1","06","21","fDOM"
"Interpolated HI for 92% discharge...96","2",0.109858196826937,92,"FRCH_storm1_06_21_fDOM","FRCH","storm1","06","21","fDOM"
"Interpolated HI for 94% discharge...97","2",0.109858196826937,94,"FRCH_storm1_06_21_fDOM","FRCH","storm1","06","21","fDOM"
"Interpolated HI for 96% discharge...98","2",0.170255178386306,96,"FRCH_storm1_06_21_fDOM","FRCH","storm1","06","21","fDOM"
"Interpolated HI for 98% discharge...99","2",0.166507044688568,98,"FRCH_storm1_06_21_fDOM","FRCH","storm1","06","21","fDOM"
"Interpolated HI for 100% discharge...100","2",0.166507044688568,100,"FRCH_storm1_06_21_fDOM","FRCH","storm1","06","21","fDOM"
"Interpolated HI for 2% discharge...101","3",-0.223684210526319,2,"FRCH_storm1_06_21_SPC","FRCH","storm1","06","21","SPC"
"Interpolated HI for 4% discharge...102","3",-0.223684210526319,4,"FRCH_storm1_06_21_SPC","FRCH","storm1","06","21","SPC"
"Interpolated HI for 6% discharge...103","3",-0.223684210526319,6,"FRCH_storm1_06_21_SPC","FRCH","storm1","06","21","SPC"
"Interpolated HI for 8% discharge...104","3",-0.223684210526319,8,"FRCH_storm1_06_21_SPC","FRCH","storm1","06","21","SPC"
"Interpolated HI for 10% discharge...105","3",-0.223684210526319,10,"FRCH_storm1_06_21_SPC","FRCH","storm1","06","21","SPC"
"Interpolated HI for 12% discharge...106","3",-0.214912280701766,12,"FRCH_storm1_06_21_SPC","FRCH","storm1","06","21","SPC"
"Interpolated HI for 14% discharge...107","3",-0.565789473684215,14,"FRCH_storm1_06_21_SPC","FRCH","storm1","06","21","SPC"
"Interpolated HI for 16% discharge...108","3",-0.565789473684215,16,"FRCH_storm1_06_21_SPC","FRCH","storm1","06","21","SPC"
"Interpolated HI for 18% discharge...109","3",-0.561403508771927,18,"FRCH_storm1_06_21_SPC","FRCH","storm1","06","21","SPC"
"Interpolated HI for 20% discharge...110","3",-0.54385964912282,20,"FRCH_storm1_06_21_SPC","FRCH","storm1","06","21","SPC"
"Interpolated HI for 22% discharge...111","3",-0.539473684210532,22,"FRCH_storm1_06_21_SPC","FRCH","storm1","06","21","SPC"
"Interpolated HI for 24% discharge...112","3",-0.565789473684215,24,"FRCH_storm1_06_21_SPC","FRCH","storm1","06","21","SPC"
"Interpolated HI for 26% discharge...113","3",-0.504385964912292,26,"FRCH_storm1_06_21_SPC","FRCH","storm1","06","21","SPC"
"Interpolated HI for 28% discharge...114","3",-0.530701754385978,28,"FRCH_storm1_06_21_SPC","FRCH","storm1","06","21","SPC"
"Interpolated HI for 30% discharge...115","3",-0.530701754385978,30,"FRCH_storm1_06_21_SPC","FRCH","storm1","06","21","SPC"
"Interpolated HI for 32% discharge...116","3",-0.517543859649137,32,"FRCH_storm1_06_21_SPC","FRCH","storm1","06","21","SPC"
"Interpolated HI for 34% discharge...117","3",-0.478070175438609,34,"FRCH_storm1_06_21_SPC","FRCH","storm1","06","21","SPC"
"Interpolated HI for 36% discharge...118","3",-0.478070175438609,36,"FRCH_storm1_06_21_SPC","FRCH","storm1","06","21","SPC"
"Interpolated HI for 38% discharge...119","3",-0.49122807017545,38,"FRCH_storm1_06_21_SPC","FRCH","storm1","06","21","SPC"
"Interpolated HI for 40% discharge...120","3",-0.578947368421056,40,"FRCH_storm1_06_21_SPC","FRCH","storm1","06","21","SPC"
"Interpolated HI for 42% discharge...121","3",-0.478070175438605,42,"FRCH_storm1_06_21_SPC","FRCH","storm1","06","21","SPC"
"Interpolated HI for 44% discharge...122","3",-0.565789473684211,44,"FRCH_storm1_06_21_SPC","FRCH","storm1","06","21","SPC"
"Interpolated HI for 46% discharge...123","3",-0.635964912280713,46,"FRCH_storm1_06_21_SPC","FRCH","storm1","06","21","SPC"
"Interpolated HI for 48% discharge...124","3",-0.635964912280713,48,"FRCH_storm1_06_21_SPC","FRCH","storm1","06","21","SPC"
"Interpolated HI for 50% discharge...125","3",-0.635964912280713,50,"FRCH_storm1_06_21_SPC","FRCH","storm1","06","21","SPC"
"Interpolated HI for 52% discharge...126","3",-0.635964912280713,52,"FRCH_storm1_06_21_SPC","FRCH","storm1","06","21","SPC"
"Interpolated HI for 54% discharge...127","3",-0.622807017543872,54,"FRCH_storm1_06_21_SPC","FRCH","storm1","06","21","SPC"
"Interpolated HI for 56% discharge...128","3",-0.578947368421082,56,"FRCH_storm1_06_21_SPC","FRCH","storm1","06","21","SPC"
"Interpolated HI for 58% discharge...129","3",-0.565789473684241,58,"FRCH_storm1_06_21_SPC","FRCH","storm1","06","21","SPC"
"Interpolated HI for 60% discharge...130","3",-0.368421052631609,60,"FRCH_storm1_06_21_SPC","FRCH","storm1","06","21","SPC"
"Interpolated HI for 62% discharge...131","3",-0.513157894736871,62,"FRCH_storm1_06_21_SPC","FRCH","storm1","06","21","SPC"
"Interpolated HI for 64% discharge...132","3",-0.298245614035106,64,"FRCH_storm1_06_21_SPC","FRCH","storm1","06","21","SPC"
"Interpolated HI for 66% discharge...133","3",-0.298245614035106,66,"FRCH_storm1_06_21_SPC","FRCH","storm1","06","21","SPC"
"Interpolated HI for 68% discharge...134","3",-0.179824561403526,68,"FRCH_storm1_06_21_SPC","FRCH","storm1","06","21","SPC"
"Interpolated HI for 70% discharge...135","3",-0.157894736842131,70,"FRCH_storm1_06_21_SPC","FRCH","storm1","06","21","SPC"
"Interpolated HI for 72% discharge...136","3",-0.206140350877208,72,"FRCH_storm1_06_21_SPC","FRCH","storm1","06","21","SPC"
"Interpolated HI for 74% discharge...137","3",-0.285087719298264,74,"FRCH_storm1_06_21_SPC","FRCH","storm1","06","21","SPC"
"Interpolated HI for 76% discharge...138","3",-0.228070175438603,76,"FRCH_storm1_06_21_SPC","FRCH","storm1","06","21","SPC"
"Interpolated HI for 78% discharge...139","3",-0.232456140350895,78,"FRCH_storm1_06_21_SPC","FRCH","storm1","06","21","SPC"
"Interpolated HI for 80% discharge...140","3",-0.232456140350895,80,"FRCH_storm1_06_21_SPC","FRCH","storm1","06","21","SPC"
"Interpolated HI for 82% discharge...141","3",-0.258771929824552,82,"FRCH_storm1_06_21_SPC","FRCH","storm1","06","21","SPC"
"Interpolated HI for 84% discharge...142","3",-0.135964912280713,84,"FRCH_storm1_06_21_SPC","FRCH","storm1","06","21","SPC"
"Interpolated HI for 86% discharge...143","3",-0.131578947368422,86,"FRCH_storm1_06_21_SPC","FRCH","storm1","06","21","SPC"
"Interpolated HI for 88% discharge...144","3",-0.131578947368422,88,"FRCH_storm1_06_21_SPC","FRCH","storm1","06","21","SPC"
"Interpolated HI for 90% discharge...145","3",-0.0701754385964988,90,"FRCH_storm1_06_21_SPC","FRCH","storm1","06","21","SPC"
"Interpolated HI for 92% discharge...146","3",-0.013157894736845,92,"FRCH_storm1_06_21_SPC","FRCH","storm1","06","21","SPC"
"Interpolated HI for 94% discharge...147","3",-0.013157894736845,94,"FRCH_storm1_06_21_SPC","FRCH","storm1","06","21","SPC"
"Interpolated HI for 96% discharge...148","3",0.0745614035087867,96,"FRCH_storm1_06_21_SPC","FRCH","storm1","06","21","SPC"
"Interpolated HI for 98% discharge...149","3",0.0526315789473917,98,"FRCH_storm1_06_21_SPC","FRCH","storm1","06","21","SPC"
"Interpolated HI for 100% discharge...150","3",0.0526315789473917,100,"FRCH_storm1_06_21_SPC","FRCH","storm1","06","21","SPC"
"Interpolated HI for 2% discharge...151","4",0.135623073535888,2,"FRCH_storm1_06_21_turb","FRCH","storm1","06","21","turb"
"Interpolated HI for 4% discharge...152","4",0.135623073535888,4,"FRCH_storm1_06_21_turb","FRCH","storm1","06","21","turb"
"Interpolated HI for 6% discharge...153","4",0.135623073535888,6,"FRCH_storm1_06_21_turb","FRCH","storm1","06","21","turb"
"Interpolated HI for 8% discharge...154","4",0.135623073535888,8,"FRCH_storm1_06_21_turb","FRCH","storm1","06","21","turb"
"Interpolated HI for 10% discharge...155","4",0.135623073535888,10,"FRCH_storm1_06_21_turb","FRCH","storm1","06","21","turb"
"Interpolated HI for 12% discharge...156","4",0.158960810215764,12,"FRCH_storm1_06_21_turb","FRCH","storm1","06","21","turb"
"Interpolated HI for 14% discharge...157","4",-0.1594011448701,14,"FRCH_storm1_06_21_turb","FRCH","storm1","06","21","turb"
"Interpolated HI for 16% discharge...158","4",-0.1594011448701,16,"FRCH_storm1_06_21_turb","FRCH","storm1","06","21","turb"
"Interpolated HI for 18% discharge...159","4",-0.212461470717745,18,"FRCH_storm1_06_21_turb","FRCH","storm1","06","21","turb"
"Interpolated HI for 20% discharge...160","4",-0.23447820343461,20,"FRCH_storm1_06_21_turb","FRCH","storm1","06","21","turb"
"Interpolated HI for 22% discharge...161","4",-0.287538529282255,22,"FRCH_storm1_06_21_turb","FRCH","storm1","06","21","turb"
"Interpolated HI for 24% discharge...162","4",-0.193306913254073,24,"FRCH_storm1_06_21_turb","FRCH","storm1","06","21","turb"
"Interpolated HI for 26% discharge...163","4",-0.0741963892558349,26,"FRCH_storm1_06_21_turb","FRCH","storm1","06","21","turb"
"Interpolated HI for 28% discharge...164","4",-0.252752091589609,28,"FRCH_storm1_06_21_turb","FRCH","storm1","06","21","turb"
"Interpolated HI for 30% discharge...165","4",-0.252752091589609,30,"FRCH_storm1_06_21_turb","FRCH","storm1","06","21","turb"
"Interpolated HI for 32% discharge...166","4",-0.168207837956848,32,"FRCH_storm1_06_21_turb","FRCH","storm1","06","21","turb"
"Interpolated HI for 34% discharge...167","4",-0.0378687802730078,34,"FRCH_storm1_06_21_turb","FRCH","storm1","06","21","turb"
"Interpolated HI for 36% discharge...168","4",-0.0378687802730078,36,"FRCH_storm1_06_21_turb","FRCH","storm1","06","21","turb"
"Interpolated HI for 38% discharge...169","4",-0.268824306472919,38,"FRCH_storm1_06_21_turb","FRCH","storm1","06","21","turb"
"Interpolated HI for 40% discharge...170","4",-0.0968736239542059,40,"FRCH_storm1_06_21_turb","FRCH","storm1","06","21","turb"
"Interpolated HI for 42% discharge...171","4",-0.28996036988111,42,"FRCH_storm1_06_21_turb","FRCH","storm1","06","21","turb"
"Interpolated HI for 44% discharge...172","4",-0.118009687362396,44,"FRCH_storm1_06_21_turb","FRCH","storm1","06","21","turb"
"Interpolated HI for 46% discharge...173","4",-0.129238221047997,46,"FRCH_storm1_06_21_turb","FRCH","storm1","06","21","turb"
"Interpolated HI for 48% discharge...174","4",-0.129238221047997,48,"FRCH_storm1_06_21_turb","FRCH","storm1","06","21","turb"
"Interpolated HI for 50% discharge...175","4",-0.129238221047997,50,"FRCH_storm1_06_21_turb","FRCH","storm1","06","21","turb"
"Interpolated HI for 52% discharge...176","4",-0.129238221047997,52,"FRCH_storm1_06_21_turb","FRCH","storm1","06","21","turb"
"Interpolated HI for 54% discharge...177","4",-0.0768383971818586,54,"FRCH_storm1_06_21_turb","FRCH","storm1","06","21","turb"
