...1,storm.num,storm_start,storm_end,duration_days,total_storm_ppt,intensity,prev7,prev30,site.ID
8,storm7,2022-08-19,2022-08-21,3,5.969,1.98966666666667,8.129,57.024,CARI
9,storm8,2022-09-04,2022-09-05,2,7.112,3.556,7.874,58.294,CARI
1,storm1,2015-07-02,2015-07-05,4,25.4,6.35,23.368,47.244,FRCH
2,storm2,2015-07-19,2015-07-23,5,20.828,4.1656,15.748,77.724,FRCH
3,storm3,2015-07-27,2015-07-31,5,46.736,9.3472,11.43,90.932,FRCH
4,storm4,2015-08-13,2015-08-16,4,11.684,2.921,12.192,100.33,FRCH
5,storm5a,2015-08-18,2015-08-23,6,19.304,3.21733333333333,13.97,97.028,FRCH
6,storm6a,2015-08-26,2015-09-08,14,44.704,3.19314285714286,18.288,97.536,FRCH
7,storm7,2015-09-14,2015-09-16,3,13.462,4.48733333333333,7.62,81.788,FRCH
1,storm1,2018-06-21,2018-06-24,4,6.35,1.5875,3.048,30.226,FRCH
2,storm10,2018-09-02,2018-09-16,15,8.636,0.575733333333333,33.02,120.904,FRCH
3,storm11a,2018-09-23,2018-09-30,8,17.526,2.19075,24.638,73.152,FRCH
4,storm2a,2018-07-01,2018-07-08,8,16.256,2.032,7.62,30.226,FRCH
5,storm3,2018-07-11,2018-07-15,5,19.558,3.9116,3.556,33.528,FRCH
6,storm4a,2018-07-15,2018-07-17,3,6.858,2.286,18.542,51.816,FRCH
7,storm4b,2018-07-17,2018-07-20,4,4.826,1.2065,20.828,53.086,FRCH
8,storm5,2018-08-05,2018-08-12,8,28.702,3.58775,12.7,43.688,FRCH
9,storm6,2018-08-13,2018-08-20,8,35.814,4.47675,8.128,53.848,FRCH
10,storm7,2018-08-24,2018-08-27,4,16.256,4.064,5.08,86.36,FRCH
11,storm8a,2018-08-27,2018-08-30,4,25.4,6.35,16.256,93.472,FRCH
12,storm9,2018-08-30,2018-09-01,3,21.082,7.02733333333333,20.32,99.822,FRCH
1,storm1,2019-05-31,2019-06-11,12,58.6,4.88333333333333,2.2,12.6,FRCH
2,storm10a,2019-08-01,2019-08-06,6,56,9.33333333333333,36.6,53.6,FRCH
3,storm11,2019-08-06,2019-08-11,6,49.2,8.2,52.8,95,FRCH
4,storm12a,2019-08-13,2019-08-15,3,32.6,10.8666666666667,49.2,132.4,FRCH
5,storm12c,2019-08-16,2019-08-30,15,62.8,4.18666666666667,34.4,160.4,FRCH
6,storm13,2019-09-21,2019-09-25,5,21.4,4.28,8,15.6,FRCH
7,storm14,2019-10-02,2019-10-08,7,34.8,4.97142857142857,8.4,38.8,FRCH
8,storm2,2019-06-15,2019-06-17,3,11,3.66666666666667,3.2,70.8,FRCH
9,storm3,2019-06-18,2019-06-20,3,5.8,1.93333333333333,11.4,79.2,FRCH
10,storm4,2019-06-21,2019-06-23,3,36,12,16.8,81.6,FRCH
11,storm5,2019-06-23,2019-06-24,2,13.4,6.7,39.4,100.2,FRCH
12,storm6,2019-07-12,2019-07-15,4,9.4,2.35,2.4,60,FRCH
1,storm1,2020-06-13,2020-06-18,6,18,3,0.2,0.2,FRCH
2,storm10a,2020-08-10,2020-08-12,3,27,9,14.6,111.8,FRCH
3,storm10b,2020-08-13,2020-08-14,2,3.2,1.6,28.6,137.8,FRCH
4,storm11,2020-08-21,2020-08-22,2,6.2,3.1,1.4,79,FRCH
5,storm2,2020-06-19,2020-06-20,2,12.8,6.4,18,18.2,FRCH
6,storm3a,2020-06-20,2020-07-05,16,93.4,5.8375,26.6,26.8,FRCH
7,storm4a,2020-07-08,2020-07-10,3,61.4,20.4666666666667,1.6,121.6,FRCH
8,storm4b,2020-07-10,2020-07-12,3,8,2.66666666666667,54.8,175,FRCH
9,storm5,2020-07-16,2020-07-17,2,12.2,6.1,15.8,170.4,FRCH
10,storm6,2020-07-19,2020-07-20,2,5.4,2.7,28.6,193.4,FRCH
11,storm7,2020-07-21,2020-07-24,4,39.2,9.8,33,186,FRCH
12,storm8,2020-07-27,2020-07-31,5,6.8,1.36,42,151.8,FRCH
13,storm9a,2020-08-02,2020-08-03,2,27,13.5,9,145.6,FRCH
14,storm9b,2020-08-03,2020-08-06,4,14.2,3.55,21.2,160,FRCH
1,storm2,2021-07-28,2021-07-31,4,13.8,3.45,22.2,27.8,FRCH
2,storm3,2021-08-06,2021-08-08,3,14,4.66666666666667,0,40.8,FRCH
3,storm4,2021-08-09,2021-08-11,3,23.2,7.73333333333333,14,50.4,FRCH
4,storm5a,2021-08-15,2021-08-20,6,50.6,8.43333333333334,25.2,75.2,FRCH
5,storm6a,2021-08-20,2021-08-24,5,16,3.2,43.8,117.6,FRCH
6,storm7,2021-08-26,2021-08-27,2,11.6,5.8,24.2,118.8,FRCH
7,storm8,2021-08-27,2021-09-01,6,7.6,1.26666666666667,31,126.4,FRCH
1,storm1,2022-07-11,2022-07-13,3,3.556,1.18533333333333,7.62,21.336,FRCH
2,storm2,2022-08-05,2022-08-08,4,28.575,7.14375,11.303,52.705,FRCH
3,storm3,2022-09-14,2022-09-17,4,14.097,3.52425,13.462,48.261,FRCH
4,storm4,2022-09-19,2022-09-21,3,5.207,1.73566666666667,15.367,49.276,FRCH
1,storm1,2015-07-02,2015-07-06,5,21.082,4.2164,11.43,21.844,MOOS
2,storm2,2015-07-19,2015-07-25,7,9.144,1.30628571428571,9.144,44.45,MOOS
3,storm3a,2015-07-27,2015-08-02,7,25.908,3.70114285714286,4.826,53.594,MOOS
4,storm4,2015-08-16,2015-08-18,3,3.81,1.27,7.366,53.34,MOOS
5,storm5,2015-08-26,2015-08-30,5,4.826,0.9652,9.398,53.594,MOOS
6,storm6,2015-09-15,2015-09-16,2,8.89,4.445,13.716,33.274,MOOS
1,storm10,2018-09-02,2018-09-11,10,8.636,0.8636,33.02,120.904,MOOS
2,storm11a,2018-09-22,2018-10-01,10,26.67,2.667,15.494,65.532,MOOS
3,storm2a,2018-06-30,2018-07-09,10,19.304,1.9304,4.572,28.702,MOOS
4,storm3,2018-07-11,2018-07-15,5,19.558,3.9116,3.556,33.528,MOOS
5,storm5,2018-08-05,2018-08-11,7,28.702,4.10028571428571,12.7,43.688,MOOS
6,storm6,2018-08-14,2018-08-21,8,29.718,3.71475,8.382,62.23,MOOS
7,storm7,2018-08-23,2018-08-27,5,17.78,3.556,3.556,84.836,MOOS
8,storm8a,2018-08-27,2018-08-30,4,25.4,6.35,16.256,93.472,MOOS
9,storm9,2018-08-31,2018-09-02,3,7.62,2.54,37.846,118.872,MOOS
1,storm1,2019-06-01,2019-06-08,8,56.8,7.1,2,12.6,MOOS
2,storm3,2019-07-13,2019-07-15,3,8.2,2.73333333333333,3.6,61.2,MOOS
3,storm4,2019-07-26,2019-07-28,3,24.4,8.13333333333333,0.800000000000001,22,MOOS
4,storm5,2019-07-29,2019-08-01,4,22.4,5.6,24.6,46.4,MOOS
5,storm6a,2019-08-01,2019-08-06,6,56,9.33333333333333,36.6,53.6,MOOS
6,storm6d,2019-08-06,2019-08-11,6,49.2,8.2,52.8,95,MOOS
7,storm7a,2019-08-13,2019-08-15,3,32.6,10.8666666666667,49.2,132.4,MOOS
8,storm7b,2019-08-15,2019-08-16,2,43.2,21.6,28,158.6,MOOS
9,storm7c,2019-08-16,2019-08-20,5,51.2,10.24,34.4,160.4,MOOS
10,storm8,2019-09-21,2019-09-23,3,18.6,6.2,8,15.6,MOOS
11,storm9,2019-10-02,2019-10-07,6,30.8,5.13333333333333,8.4,38.8,MOOS
1,storm1,2020-06-21,2020-06-28,8,81.6,10.2,30.8,31,MOOS
2,storm2,2020-06-28,2020-07-02,5,13,2.6,76.2,107.2,MOOS
3,storm3,2020-07-18,2020-07-20,3,16.8,5.6,17.2,182,MOOS
4,storm4,2020-07-20,2020-07-24,5,39.2,7.84,34,190.2,MOOS
5,storm5,2020-07-27,2020-07-29,3,6.8,2.26666666666667,42,151.8,MOOS
6,storm6a,2020-08-02,2020-08-03,2,27,13.5,9,145.6,MOOS
7,storm6b,2020-08-03,2020-08-06,4,14.2,3.55,21.2,160,MOOS
8,storm7a,2020-08-09,2020-08-12,4,27,6.75,29,119.8,MOOS
9,storm7b,2020-08-12,2020-08-14,3,6.4,2.13333333333333,25.4,135.6,MOOS
10,storm8,2020-09-07,2020-09-09,3,12.2,4.06666666666667,7.4,55.8,MOOS
11,storm9,2020-09-09,2020-09-13,5,4,0.8,15.6,63.6,MOOS
1,storm1,2021-07-24,2021-07-26,3,20.2,6.73333333333333,1.6,9.4,MOOS
2,storm2,2021-07-27,2021-07-30,4,14.2,3.55,21.8,27.4,MOOS
3,storm3a,2021-08-06,2021-08-07,2,14,7,0,40.8,MOOS
4,storm3b,2021-08-09,2021-08-12,4,23.8,5.95,14,50.4,MOOS
5,storm4a,2021-08-15,2021-08-20,6,50.6,8.43333333333334,25.2,75.2,MOOS
6,storm5a,2021-08-20,2021-08-23,4,12.8,3.2,43.8,117.6,MOOS
7,storm6,2021-08-26,2021-08-27,2,11.6,5.8,24.2,118.8,MOOS
8,storm7,2021-08-27,2021-08-30,4,7.6,1.9,31,126.4,MOOS
1,storm1,2022-07-10,2022-07-12,3,5.715,1.905,5.461,17.907,MOOS
2,storm2a,2022-08-05,2022-08-08,4,28.575,7.14375,11.303,52.705,MOOS
3,storm3,2022-08-19,2022-08-20,2,5.969,2.9845,8.129,57.024,MOOS
4,storm4,2022-09-15,2022-09-17,3,1.905,0.635,25.654,54.102,MOOS
1,storm1,2019-06-30,2019-07-01,2,9.779,4.8895,4.191,22.987,POKE
2,storm2,2019-07-12,2019-07-13,2,9.906,4.953,0,23.876,POKE
3,storm3,2019-07-26,2019-07-27,2,19.813,9.9065,0.126999999999999,25.654,POKE
4,storm4,2019-08-01,2019-08-02,2,47.498,23.749,27.56,43.308,POKE
5,storm5a,2019-08-02,2019-08-05,4,87.249,21.81225,35.18,50.928,POKE
6,storm5c,2019-08-05,2019-08-07,3,17.018,5.67266666666667,94.361,130.811,POKE
7,storm5d,2019-08-10,2019-08-11,2,5.08,2.54,61.849,152.655,POKE
8,storm6a,2019-08-13,2019-08-16,4,47.117,11.77925,19.939,148.21,POKE
9,storm7,2019-08-16,2019-08-18,3,17.272,5.75733333333333,40.513,178.436,POKE
10,storm8,2019-09-29,2019-09-30,2,10.795,5.3975,1.143,12.065,POKE
11,storm9,2019-10-04,2019-10-06,3,8.636,2.87866666666667,17.526,29.464,POKE
1,storm11,2020-07-18,2020-07-20,3,10.922,3.64066666666667,32.131,132.463,POKE
2,storm12,2020-07-21,2020-07-24,4,25.019,6.25475,28.448,103.379,POKE
3,storm13,2020-07-24,2020-07-25,2,10.033,5.0165,33.147,98.553,POKE
4,storm14,2020-07-27,2020-07-31,5,18.034,3.6068,26.416,99.95,POKE
5,storm15,2020-08-03,2020-08-06,4,44.069,11.01725,32.258,121.413,POKE
6,storm19,2020-08-27,2020-08-29,3,7.366,2.45533333333333,21.209,94.869,POKE
7,storm20,2020-09-02,2020-09-03,2,9.779,4.8895,18.669,88.773,POKE
8,storm21,2020-09-04,2020-09-06,3,7.366,2.45533333333333,16.383,54.483,POKE
9,storm22a,2020-09-08,2020-09-09,2,23.241,11.6205,31.75,69.977,POKE
10,storm22b,2020-09-09,2020-09-11,3,13.462,4.48733333333333,38.481,80.01,POKE
11,storm3,2020-06-15,2020-06-16,2,6.096,3.048,21.967,40.255,POKE
12,storm4a,2020-06-19,2020-06-20,2,36.196,18.098,23.366,50.161,POKE
13,storm4b,2020-06-20,2020-06-21,2,25.146,12.573,33.402,71.625,POKE
14,storm4c,2020-06-21,2020-06-23,3,21.209,7.06966666666667,47.626,86.357,POKE
15,storm5,2020-06-23,2020-06-25,3,16.637,5.54566666666667,53.722,99.565,POKE
16,storm7,2020-07-04,2020-07-05,2,8.256,4.128,10.795,112.519,POKE
17,storm8,2020-07-09,2020-07-10,2,11.43,5.715,8.256,116.584,POKE
18,storm9,2020-07-13,2020-07-15,3,20.32,6.77333333333333,11.43,108.46,POKE
1,storm1,2021-05-16,2021-05-19,4,9.779,2.44475,0.508,1.651,POKE
2,storm2,2021-06-01,2021-06-03,3,8.128,2.70933333333333,0,12.446,POKE
3,storm3,2021-06-19,2021-06-21,3,18.034,6.01133333333333,1.27,25.019,POKE
4,storm4,2021-07-24,2021-07-26,3,12.573,4.191,3.429,22.987,POKE
5,storm5,2021-07-27,2021-07-31,5,22.479,4.4958,15.875,31.75,POKE
6,storm6,2021-08-08,2021-08-10,3,26.289,8.763,4.953,48.387,POKE
7,storm7a,2021-08-15,2021-08-19,5,63.881,12.7762,35.052,78.486,POKE
8,storm7b,2021-08-19,2021-08-22,4,20.701,5.17525,68.834,140.97,POKE
9,storm7d,2021-08-27,2021-08-28,2,14.351,7.1755,40.894,154.432,POKE
1,storm1,2022-07-15,2022-07-17,3,14.351,4.78366666666667,11.176,24.892,POKE
2,storm2,2022-09-03,2022-09-05,3,8.382,2.794,10.668,57.786,POKE
3,storm3,2022-09-09,2022-09-10,2,12.827,6.4135,10.16,35.18,POKE
4,storm4,2022-09-14,2022-09-16,3,13.335,4.445,13.462,48.261,POKE
1,storm1,2019-05-31,2019-06-07,8,55.4,6.925,2.2,12.6,STRT
2,storm2,2019-07-13,2019-07-16,4,12.8,3.2,3.6,61.2,STRT
3,storm3a,2019-07-26,2019-08-05,11,77.8,7.07272727272727,0.800000000000001,22,STRT
4,storm3b,2019-08-05,2019-08-08,4,47.4,11.85,53.4,95,STRT
5,storm3c,2019-08-13,2019-08-15,3,32.6,10.8666666666667,49.2,132.4,STRT
6,storm4,2019-08-16,2019-08-20,5,51.2,10.24,34.4,160.4,STRT
7,storm5,2019-08-21,2019-08-22,2,7.8,3.9,66.6,211,STRT
8,storm6,2019-09-21,2019-09-23,3,18.6,6.2,8,15.6,STRT
9,storm7a,2019-10-01,2019-10-04,4,25.6,6.4,6.8,37.2,STRT
10,storm7b,2019-10-04,2019-10-07,4,9.4,2.35,26.6,60.2,STRT
11,storm7c,2019-10-09,2019-10-12,4,5,1.25,34.8,73.6,STRT
1,storm10,2020-09-24,2020-09-26,3,9,3,3.2,64.2,STRT
2,storm1a,2020-06-19,2020-06-29,11,97.4,8.85454545454546,18,18.2,STRT
3,storm2,2020-07-09,2020-07-11,3,10.8,3.6,52,172.2,STRT
4,storm3,2020-07-21,2020-07-25,5,39.8,7.96,33,186,STRT
5,storm4a,2020-08-01,2020-08-03,3,26.8,8.93333333333333,10,146,STRT
6,storm4b,2020-08-03,2020-08-06,4,16.2,4.05,20.6,159.4,STRT
