"response_var","site.ID","pf","burn","Pf_Prob_1m_mean_x","pctburn_lg","SLOPE_MEAN","NDVI_p50__mean","Hyst_index_mn","Hyst_index_md","Hyst_index_SD","Hyst_index_CV","Flush_index_mn","Flush_index_md","Flush_index_SD","Flush_index_CV","Beta_index_mn","Beta_index_md","Beta_index_SD","Beta_index_CV"
"fDOM","CARI","medium","unburned",29.3,0,11.29107044,0.226663862,-0.327968038540447,-0.362956264386712,0.220051719837027,-67.0954769910877,0.541059259259259,0.6088,0.282662034210549,52.24234302866,0.424035575681827,0.366656761519387,0.581275118271065,137.081686444918
"fDOM","FRCH","medium","unburned",32.9,7.34,12.34739776,0.212593913,-0.379801459735554,-0.43272065647787,0.261486380200691,-68.8481767244279,0.198096875,0.1912,0.325637792532444,164.38310424253,0.6121840404276,0.69392472205985,0.656732183616119,107.276920051265
"fDOM","MOOS","high","burned",38.4,65.7,10.21119216,0.223090712,-0.17889548339376,-0.181850913972639,0.334043360020965,-186.725429666502,-0.239768,-0.227,0.414851630827215,-173.022100875519,0.130015364806384,-0.141601604666135,0.734519586759784,564.948295036987
"fDOM","POKE","low","burned",25.3,32.97,11.54780238,0.231690279,-0.398942339109494,-0.433887787257018,0.212156375237312,-53.179709055419,0.151221739130435,0.1957,0.361552052025861,239.087352192139,0.516514283631007,0.557398271347984,0.543296480506037,105.185180298743
"fDOM","STRT","medium","burned",30.8,67.35,13.65744347,0.226596282,-0.32843197053792,-0.378266251817095,0.282954959892719,-86.1532936118499,0.3372,0.4672,0.33307925107998,98.7779510913344,0.887478161921212,0.95731564507331,0.679443924159642,76.5589457084535
"fDOM","VAUL","high","unburned",58.4,0,9.408608243,0.215417079,0.0158105810994492,0.0614740989487796,0.289197082385393,1829.13632690874,-0.363126315789474,-0.4055,0.507916900292104,-139.87333834174,-0.30638549236259,-0.408824714083071,0.513704177682068,-167.66596019962
"turb","CARI","medium","unburned",29.3,0,11.29107044,0.226663862,0.0473078450813964,-0.00211048974946351,0.197910144121771,418.345295122306,26515151515151.8,0.3719,129897183329411,489.897948556629,0.289801833053258,0.291356576293875,0.61528007978786,212.310623885802
"turb","FRCH","medium","unburned",32.9,7.34,12.34739776,0.212593913,-0.0208304470066105,-0.0266968325791858,0.146566463969283,-703.616508674875,0.128614705882353,0.11705,0.119347966257959,92.7949610732146,0.681533895034759,0.66606918823876,0.369179685587955,54.1689398396138
"turb","MOOS","high","burned",38.4,65.7,10.21119216,0.223090712,-0.0386915837833288,-0.0357693419404567,0.167695871165113,-433.416921117013,0.291996428571429,0.2702,0.213105935197502,72.9823772982799,0.777787333007475,0.80575811993428,0.418515018465541,53.8084127504709
"turb","POKE","low","burned",25.3,32.97,11.54780238,0.231690279,0.141814834320343,0.139579101782893,0.177742974493347,125.334542994174,0.143363157894737,0.1102,0.242837838463189,169.386502103623,0.59041454095752,0.456270960027175,0.556391532199361,94.2374371906592
"turb","STRT","medium","burned",30.8,67.35,13.65744347,0.226596282,-0.0153657849486721,-0.03322303292513,0.112933070562151,-734.964539328078,0.2421,0.2133,0.234825834396474,96.9953880200221,0.82631559746557,0.927379364242449,0.511377535015054,61.8864676624189
"turb","VAUL","high","unburned",58.4,0,9.408608243,0.215417079,0.0701586539321217,0.0246548758435147,0.147901016076816,210.809369603798,0.383172222222222,0.46215,0.239570163627806,62.5228421409071,0.901286959762799,0.97426733739932,0.527876103231171,58.5691490943237
