,column_label,HI,Q_interval,storm.ID,site.ID,storm.num,month,day,response,
Interpolated HI for 12% discharge...106,3,0.018206522,12,MOOS_storm1_07_23_turb,MOOS,storm1,7,23,turb,
Interpolated HI for 14% discharge...107,3,0.014945652,14,MOOS_storm1_07_23_turb,MOOS,storm1,7,23,turb,
Interpolated HI for 16% discharge...108,3,0.018931159,16,MOOS_storm1_07_23_turb,MOOS,storm1,7,23,turb,
Interpolated HI for 18% discharge...109,3,0.022826087,18,MOOS_storm1_07_23_turb,MOOS,storm1,7,23,turb,
Interpolated HI for 20% discharge...110,3,0.005404589,20,MOOS_storm1_07_23_turb,MOOS,storm1,7,23,turb,
Interpolated HI for 22% discharge...111,3,-0.014673913,22,MOOS_storm1_07_23_turb,MOOS,storm1,7,23,turb,
Interpolated HI for 24% discharge...112,3,-0.007472826,24,MOOS_storm1_07_23_turb,MOOS,storm1,7,23,turb,
Interpolated HI for 26% discharge...113,3,0.024079106,26,MOOS_storm1_07_23_turb,MOOS,storm1,7,23,turb,
Interpolated HI for 28% discharge...114,3,0.033816425,28,MOOS_storm1_07_23_turb,MOOS,storm1,7,23,turb,
Interpolated HI for 30% discharge...115,3,0.026902174,30,MOOS_storm1_07_23_turb,MOOS,storm1,7,23,turb,
Interpolated HI for 32% discharge...116,3,0.06446256,32,MOOS_storm1_07_23_turb,MOOS,storm1,7,23,turb,
Interpolated HI for 34% discharge...117,3,0.033046498,34,MOOS_storm1_07_23_turb,MOOS,storm1,7,23,turb,
Interpolated HI for 36% discharge...118,3,0.018282005,36,MOOS_storm1_07_23_turb,MOOS,storm1,7,23,turb,
Interpolated HI for 38% discharge...119,3,-0.026419082,38,MOOS_storm1_07_23_turb,MOOS,storm1,7,23,turb,
Interpolated HI for 40% discharge...120,3,-0.068176329,40,MOOS_storm1_07_23_turb,MOOS,storm1,7,23,turb,
Interpolated HI for 42% discharge...121,3,-0.116364734,42,MOOS_storm1_07_23_turb,MOOS,storm1,7,23,turb,
Interpolated HI for 44% discharge...122,3,-0.210839372,44,MOOS_storm1_07_23_turb,MOOS,storm1,7,23,turb,
Interpolated HI for 46% discharge...123,3,-0.248460145,46,MOOS_storm1_07_23_turb,MOOS,storm1,7,23,turb,
Interpolated HI for 48% discharge...124,3,-0.231461353,48,MOOS_storm1_07_23_turb,MOOS,storm1,7,23,turb,
Interpolated HI for 50% discharge...125,3,-0.316153382,50,MOOS_storm1_07_23_turb,MOOS,storm1,7,23,turb,
Interpolated HI for 52% discharge...126,3,-0.378562802,52,MOOS_storm1_07_23_turb,MOOS,storm1,7,23,turb,
Interpolated HI for 54% discharge...127,3,-0.376690821,54,MOOS_storm1_07_23_turb,MOOS,storm1,7,23,turb,
Interpolated HI for 56% discharge...128,3,-0.363405797,56,MOOS_storm1_07_23_turb,MOOS,storm1,7,23,turb,
Interpolated HI for 58% discharge...129,3,-0.394670894,58,MOOS_storm1_07_23_turb,MOOS,storm1,7,23,turb,
Interpolated HI for 60% discharge...130,3,-0.385144928,60,MOOS_storm1_07_23_turb,MOOS,storm1,7,23,turb,
Interpolated HI for 62% discharge...131,3,-0.381899155,62,MOOS_storm1_07_23_turb,MOOS,storm1,7,23,turb,
Interpolated HI for 64% discharge...132,3,-0.372478865,64,MOOS_storm1_07_23_turb,MOOS,storm1,7,23,turb,
Interpolated HI for 66% discharge...133,3,-0.228200483,66,MOOS_storm1_07_23_turb,MOOS,storm1,7,23,turb,
Interpolated HI for 68% discharge...134,3,-0.092013889,68,MOOS_storm1_07_23_turb,MOOS,storm1,7,23,turb,
Interpolated HI for 70% discharge...135,3,-0.072146739,70,MOOS_storm1_07_23_turb,MOOS,storm1,7,23,turb,
Interpolated HI for 72% discharge...136,3,-0.05419686,72,MOOS_storm1_07_23_turb,MOOS,storm1,7,23,turb,
Interpolated HI for 74% discharge...137,3,-0.027022947,74,MOOS_storm1_07_23_turb,MOOS,storm1,7,23,turb,
Interpolated HI for 76% discharge...138,3,-0.001841787,76,MOOS_storm1_07_23_turb,MOOS,storm1,7,23,turb,
Interpolated HI for 78% discharge...139,3,-0.002943841,78,MOOS_storm1_07_23_turb,MOOS,storm1,7,23,turb,
Interpolated HI for 80% discharge...140,3,0.031974638,80,MOOS_storm1_07_23_turb,MOOS,storm1,7,23,turb,
Interpolated HI for 82% discharge...141,3,0.041334541,82,MOOS_storm1_07_23_turb,MOOS,storm1,7,23,turb,
Interpolated HI for 84% discharge...142,3,0.027898551,84,MOOS_storm1_07_23_turb,MOOS,storm1,7,23,turb,
Interpolated HI for 86% discharge...143,3,0.041878019,86,MOOS_storm1_07_23_turb,MOOS,storm1,7,23,turb,
Interpolated HI for 88% discharge...144,3,0.046875,88,MOOS_storm1_07_23_turb,MOOS,storm1,7,23,turb,
Interpolated HI for 90% discharge...145,3,0.062047101,90,MOOS_storm1_07_23_turb,MOOS,storm1,7,23,turb,
Interpolated HI for 92% discharge...146,3,0.107201087,92,MOOS_storm1_07_23_turb,MOOS,storm1,7,23,turb,
Interpolated HI for 94% discharge...147,3,-0.081763285,94,MOOS_storm1_07_23_turb,MOOS,storm1,7,23,turb,
Interpolated HI for 96% discharge...148,3,-0.014447464,96,MOOS_storm1_07_23_turb,MOOS,storm1,7,23,turb,
Interpolated HI for 98% discharge...149,3,-0.132533213,98,MOOS_storm1_07_23_turb,MOOS,storm1,7,23,turb,
Interpolated HI for 100% discharge...150,3,-0.038420894,100,MOOS_storm1_07_23_turb,MOOS,storm1,7,23,turb,
Interpolated HI for 2% discharge...151,4,-0.13056287,2,MOOS_storm2_07_27_fDOM,MOOS,storm2,7,27,fDOM,
Interpolated HI for 4% discharge...152,4,0.217658739,4,MOOS_storm2_07_27_fDOM,MOOS,storm2,7,27,fDOM,
Interpolated HI for 6% discharge...153,4,0.213687573,6,MOOS_storm2_07_27_fDOM,MOOS,storm2,7,27,fDOM,
Interpolated HI for 8% discharge...154,4,0.212128243,8,MOOS_storm2_07_27_fDOM,MOOS,storm2,7,27,fDOM,
Interpolated HI for 10% discharge...155,4,0.211318902,10,MOOS_storm2_07_27_fDOM,MOOS,storm2,7,27,fDOM,
Interpolated HI for 12% discharge...156,4,0.213719946,12,MOOS_storm2_07_27_fDOM,MOOS,storm2,7,27,fDOM,
Interpolated HI for 14% discharge...157,4,0.222541762,14,MOOS_storm2_07_27_fDOM,MOOS,storm2,7,27,fDOM,
Interpolated HI for 16% discharge...158,4,0.224942807,16,MOOS_storm2_07_27_fDOM,MOOS,storm2,7,27,fDOM,
Interpolated HI for 18% discharge...159,4,0.225779125,18,MOOS_storm2_07_27_fDOM,MOOS,storm2,7,27,fDOM,
Interpolated HI for 20% discharge...160,4,0.231363578,20,MOOS_storm2_07_27_fDOM,MOOS,storm2,7,27,fDOM,
Interpolated HI for 22% discharge...161,4,0.232431907,22,MOOS_storm2_07_27_fDOM,MOOS,storm2,7,27,fDOM,
Interpolated HI for 24% discharge...162,4,0.23699659,24,MOOS_storm2_07_27_fDOM,MOOS,storm2,7,27,fDOM,
Interpolated HI for 26% discharge...163,4,0.241507316,26,MOOS_storm2_07_27_fDOM,MOOS,storm2,7,27,fDOM,
Interpolated HI for 28% discharge...164,4,0.273028446,28,MOOS_storm2_07_27_fDOM,MOOS,storm2,7,27,fDOM,
Interpolated HI for 30% discharge...165,4,-0.227295291,30,MOOS_storm2_07_27_fDOM,MOOS,storm2,7,27,fDOM,
Interpolated HI for 32% discharge...166,4,-0.242349031,32,MOOS_storm2_07_27_fDOM,MOOS,storm2,7,27,fDOM,
Interpolated HI for 34% discharge...167,4,-0.243239306,34,MOOS_storm2_07_27_fDOM,MOOS,storm2,7,27,fDOM,
Interpolated HI for 36% discharge...168,4,-0.247140329,36,MOOS_storm2_07_27_fDOM,MOOS,storm2,7,27,fDOM,
