"","site.ID","Q","datetimeAK","fDOM.QSU","SpCond.µS.cm","Turbidity.FNU","nitrateuM","ABS_254","MeanDischarge","DateTime"
"3271","FRCH",2052.19536508723,2020-07-08 01:30:00,107.12723127904,57.9363636363636,NA,NA,NA,2052.19536508723,2020-07-08 01:30:00
"3272","FRCH",2069.72493930445,2020-07-08 01:45:00,95.305374040366,58,244.783636363636,NA,NA,2069.72493930445,2020-07-08 01:45:00
"3273","FRCH",2072.42939365307,2020-07-08 02:00:00,80.011181674515,58.1363636363636,NA,NA,NA,2072.42939365307,2020-07-08 02:00:00
"3274","FRCH",2084.62450758509,2020-07-08 02:15:00,78.0101986219036,58.1727272727273,NA,NA,NA,2084.62450758509,2020-07-08 02:15:00
"3275","FRCH",2164.75398450157,2020-07-08 02:30:00,80.7357264960519,58.2454545454545,NA,NA,NA,2164.75398450157,2020-07-08 02:30:00
"3276","FRCH",2165.58619674863,2020-07-08 02:45:00,84.9987990088145,58.4,NA,NA,NA,2165.58619674863,2020-07-08 02:45:00
"3277","FRCH",2247.74406388244,2020-07-08 03:00:00,89.5351115148884,58.5181818181818,NA,NA,NA,2247.74406388244,2020-07-08 03:00:00
"3278","FRCH",2152.5691517237,2020-07-08 03:15:00,89.4839230831694,58.5181818181818,NA,NA,NA,2152.5691517237,2020-07-08 03:15:00
"3279","FRCH",2148.9765931093,2020-07-08 03:30:00,79.6148888419277,58.3181818181818,NA,NA,NA,2148.9765931093,2020-07-08 03:30:00
"3280","FRCH",2304.24843929801,2020-07-08 03:45:00,68.9629996533059,57.9909090909091,NA,NA,NA,2304.24843929801,2020-07-08 03:45:00
"3281","FRCH",2382.28692453147,2020-07-08 04:00:00,63.881046502765,57.6,NA,NA,NA,2382.28692453147,2020-07-08 04:00:00
"3282","FRCH",2380.23760662865,2020-07-08 04:15:00,63.8112299868841,57.2363636363636,NA,NA,NA,2380.23760662865,2020-07-08 04:15:00
"3283","FRCH",2391.96136497179,2020-07-08 04:30:00,66.9705438786167,57,324.820909090909,NA,NA,2391.96136497179,2020-07-08 04:30:00
"3284","FRCH",2472.24351300024,2020-07-08 04:45:00,71.2321695480319,56.7818181818182,NA,NA,NA,2472.24351300024,2020-07-08 04:45:00
"3285","FRCH",2515.2060768481,2020-07-08 05:00:00,76.417207651784,56.7181818181818,NA,NA,NA,2515.2060768481,2020-07-08 05:00:00
"3286","FRCH",2551.88257740343,2020-07-08 05:15:00,81.2771707652178,56.6545454545455,NA,NA,NA,2551.88257740343,2020-07-08 05:15:00
"3287","FRCH",2578.13048993212,2020-07-08 05:30:00,85.2725273575306,56.5727272727273,228.258181818182,NA,NA,2578.13048993212,2020-07-08 05:30:00
"3288","FRCH",2645.64767333105,2020-07-08 05:45:00,88.2493710482972,56.4727272727273,205.694545454545,NA,NA,2645.64767333105,2020-07-08 05:45:00
"3289","FRCH",2708.78519028129,2020-07-08 06:00:00,91.5371727256388,56.3636363636364,202.738181818182,NA,NA,2708.78519028129,2020-07-08 06:00:00
"3290","FRCH",2668.68131652277,2020-07-08 06:15:00,94.0941600561234,56.2636363636364,178.441818181818,NA,NA,2668.68131652277,2020-07-08 06:15:00
"3291","FRCH",2782.95809484803,2020-07-08 06:30:00,96.3493904538257,56.2181818181818,177.363636363636,NA,NA,2782.95809484803,2020-07-08 06:30:00
"3292","FRCH",2794.46776516175,2020-07-08 06:45:00,98.0222497693796,56.0818181818182,165.644545454545,NA,NA,2794.46776516175,2020-07-08 06:45:00
"3293","FRCH",2847.87978065404,2020-07-08 07:00:00,99.432060351257,55.9454545454545,153.614545454545,NA,NA,2847.87978065404,2020-07-08 07:00:00
"3294","FRCH",2807.92889658189,2020-07-08 07:15:00,101.039950305803,55.6818181818182,149.413636363636,NA,NA,2807.92889658189,2020-07-08 07:15:00
"3295","FRCH",2756.52195499875,2020-07-08 07:30:00,103.009928381899,55.6636363636364,133.584545454545,NA,NA,2756.52195499875,2020-07-08 07:30:00
"3296","FRCH",2886.83850469419,2020-07-08 07:45:00,104.062042866046,55.5818181818182,122.76,NA,NA,2886.83850469419,2020-07-08 07:45:00
"3297","FRCH",2859.21260795135,2020-07-08 08:00:00,105.398188689799,55.4818181818182,119.105454545455,NA,NA,2859.21260795135,2020-07-08 08:00:00
"3298","FRCH",2840.12304179322,2020-07-08 08:15:00,106.50179820784,55.3818181818182,128.472727272727,NA,NA,2840.12304179322,2020-07-08 08:15:00
"3299","FRCH",2872.19479768381,2020-07-08 08:30:00,107.393477606333,55.3363636363636,118.146363636364,NA,NA,2872.19479768381,2020-07-08 08:30:00
"3300","FRCH",2855.97212503607,2020-07-08 08:45:00,108.705349462058,55.2363636363636,111.013636363636,NA,NA,2855.97212503607,2020-07-08 08:45:00
"3301","FRCH",2810.17589274447,2020-07-08 09:00:00,109.866953821052,55.2,111.13,NA,NA,2810.17589274447,2020-07-08 09:00:00
"3302","FRCH",2777.53209901656,2020-07-08 09:15:00,110.266881632509,55.2363636363636,101.629090909091,NA,NA,2777.53209901656,2020-07-08 09:15:00
"3303","FRCH",2761.92522127421,2020-07-08 09:30:00,111.126717897424,55.1,100.77,NA,NA,2761.92522127421,2020-07-08 09:30:00
"3304","FRCH",2764.46996062274,2020-07-08 09:45:00,111.487043290467,55.1727272727273,94.6854545454545,NA,NA,2764.46996062274,2020-07-08 09:45:00
"3305","FRCH",2714.13645408772,2020-07-08 10:00:00,111.489987030399,55.0818181818182,93.01,NA,NA,2714.13645408772,2020-07-08 10:00:00
"3306","FRCH",2671.17808475846,2020-07-08 10:15:00,112.1661287486,55.0545454545455,99.5509090909091,NA,NA,2671.17808475846,2020-07-08 10:15:00
"3307","FRCH",2665.56217945459,2020-07-08 10:30:00,112.466186792754,55.0363636363636,88.8918181818182,NA,NA,2665.56217945459,2020-07-08 10:30:00
"3308","FRCH",2573.84736387114,2020-07-08 10:45:00,112.99448759908,55,86.1818181818182,NA,NA,2573.84736387114,2020-07-08 10:45:00
"3309","FRCH",2611.30520829056,2020-07-08 11:00:00,113.731686021583,54.9636363636364,87.8063636363636,NA,NA,2611.30520829056,2020-07-08 11:00:00
"3310","FRCH",2609.45596941194,2020-07-08 11:15:00,113.67330103523,54.9727272727273,81.2236363636364,NA,NA,2609.45596941194,2020-07-08 11:15:00
"3311","FRCH",2545.19206171736,2020-07-08 11:30:00,114.030135239204,54.9727272727273,86.0190909090909,NA,NA,2545.19206171736,2020-07-08 11:30:00
"3312","FRCH",2522.75955653347,2020-07-08 11:45:00,114.625739801041,54.9545454545455,94.4427272727273,NA,NA,2522.75955653347,2020-07-08 11:45:00
"3313","FRCH",2404.01185580089,2020-07-08 12:00:00,114.893009272719,54.9363636363636,78.26,NA,NA,2404.01185580089,2020-07-08 12:00:00
"3314","FRCH",2460.5983460277,2020-07-08 12:15:00,115.395895083924,54.9363636363636,84.4354545454545,NA,NA,2460.5983460277,2020-07-08 12:15:00
"3315","FRCH",2425.84772026878,2020-07-08 12:30:00,115.415698499571,54.9,88.2318181818182,NA,NA,2425.84772026878,2020-07-08 12:30:00
"3316","FRCH",2371.75815003022,2020-07-08 12:45:00,115.377444489866,54.8818181818182,78.2618181818182,NA,NA,2371.75815003022,2020-07-08 12:45:00
"3317","FRCH",2406.95616571374,2020-07-08 13:00:00,115.662974386735,54.8181818181818,80.2654545454545,NA,NA,2406.95616571374,2020-07-08 13:00:00
"3318","FRCH",2138.77035730732,2020-07-08 13:15:00,115.812801390838,54.8454545454545,83.0372727272727,NA,NA,2138.77035730732,2020-07-08 13:15:00
"3319","FRCH",2301.66282910766,2020-07-08 13:30:00,115.804695102182,54.8727272727273,78.07,NA,NA,2301.66282910766,2020-07-08 13:30:00
