"","site.ID","datetimeAK","Q","day","fDOM.QSU","SpCond.µS.cm","Turbidity.FNU","nitrateuM","MeanDischarge","DateTime","SpCond.uScm"
"58","MOOS",2020-07-21 10:00:00,1103.83868547811,2020-07-21 08:00:00,107.729090909091,102.254545454545,19.83,21.3313716742573,1103.83868547811,2020-07-21 10:00:00,102.254545454545
"59","MOOS",2020-07-21 10:15:00,1103.84285242329,2020-07-21 08:00:00,107.759090909091,102.4,19.6354545454545,21.2484763542042,1103.84285242329,2020-07-21 10:15:00,102.4
"60","MOOS",2020-07-21 10:30:00,1104.81507905509,2020-07-21 08:00:00,108.180909090909,102.381818181818,18,21.1645822953554,1104.81507905509,2020-07-21 10:30:00,102.381818181818
"61","MOOS",2020-07-21 10:45:00,1108.70815252754,2020-07-21 08:00:00,108.556363636364,102.418181818182,20.1318181818182,21.1316239150934,1108.70815252754,2020-07-21 10:45:00,102.418181818182
"62","MOOS",2020-07-21 11:00:00,1111.63316631332,2020-07-21 08:00:00,108.892727272727,102.518181818182,16.6645454545455,20.995795438862,1111.63316631332,2020-07-21 11:00:00,102.518181818182
"63","MOOS",2020-07-21 11:15:00,1113.58178652209,2020-07-21 08:00:00,109.251818181818,102.6,18.1863636363636,20.9598408422125,1113.58178652209,2020-07-21 11:15:00,102.6
"64","MOOS",2020-07-21 11:30:00,1116.50680030786,2020-07-21 08:00:00,109.784545454545,102.645454545455,16.9954545454545,20.8839366937301,1116.50680030786,2020-07-21 11:30:00,102.645454545455
"65","MOOS",2020-07-21 11:45:00,1117.48319388487,2020-07-21 08:00:00,110.169090909091,102.727272727273,17.0763636363636,20.8599669626305,1117.48319388487,2020-07-21 11:45:00,102.727272727273
"66","MOOS",2020-07-21 12:00:00,1120.40404072552,2020-07-21 08:00:00,110.532727272727,102.790909090909,17.3736363636364,20.7580956054569,1120.40404072552,2020-07-21 12:00:00,102.790909090909
"67","MOOS",2020-07-21 12:15:00,1121.38043430253,2020-07-21 08:00:00,110.883636363636,102.927272727273,17.88,20.6991700165036,1121.38043430253,2020-07-21 12:15:00,102.927272727273
"68","MOOS",2020-07-21 12:30:00,1126.24990135187,2020-07-21 08:00:00,110.850909090909,102.981818181818,17.3745454545455,20.6632154198541,1126.24990135187,2020-07-21 12:30:00,102.981818181818
"69","MOOS",2020-07-21 12:45:00,1128.20268850584,2020-07-21 08:00:00,111.314545454545,103.027272727273,19.1727272727273,20.619270912838,1128.20268850584,2020-07-21 12:45:00,103.027272727273
"70","MOOS",2020-07-21 13:00:00,1131.13186923679,2020-07-21 08:00:00,111.434545454545,103.109090909091,19.2,20.569333973047,1131.13186923679,2020-07-21 13:00:00,103.109090909091
"71","MOOS",2020-07-21 13:15:00,1133.07632250042,2020-07-21 08:00:00,111.554545454545,103.136363636364,18.0254545454545,20.5243907272352,1133.07632250042,2020-07-21 13:15:00,103.136363636364
"72","MOOS",2020-07-21 13:30:00,1135.02494270925,2020-07-21 08:00:00,111.599090909091,103.163636363636,16.5390909090909,20.5433667643558,1135.02494270925,2020-07-21 13:30:00,103.163636363636
"73","MOOS",2020-07-21 13:45:00,1136.00133628625,2020-07-21 08:00:00,111.143636363636,103.154545454545,19.5718181818182,20.5212129219758,1136.00133628625,2020-07-21 13:45:00,103.154545454545
"74","MOOS",2020-07-21 14:00:00,1136.97772986325,2020-07-21 08:00:00,110.930909090909,103.209090909091,18.4781818181818,20.5323806376018,1136.97772986325,2020-07-21 14:00:00,103.209090909091
