"","site.ID","Q","datetimeAK","fDOM.QSU","SpCond.µS.cm","Turbidity.FNU","nitrateuM","ABS_254","MeanDischarge","DateTime","SpCond.uScm"
"2019","VAUL",651.70377676934,2020-06-25 00:30:00,219.357367854446,114.7,80.7536363636364,7.37059951195748,0.8753,651.70377676934,2020-06-25 00:30:00,114.7
"2020","VAUL",649.362710036149,2020-06-25 00:45:00,219.372655848609,114.663636363636,82.1218181818182,7.27130294508751,0.8738,649.362710036149,2020-06-25 00:45:00,114.663636363636
"2021","VAUL",651.70377676934,2020-06-25 01:00:00,219.188962018791,114.8,82.9063636363636,7.34320735557955,0.8722,651.70377676934,2020-06-25 01:00:00,114.8
"2022","VAUL",641.339607349304,2020-06-25 01:15:00,217.90128927828,114.7,81.0081818181818,7.35861544354214,0.873225,641.339607349304,2020-06-25 01:15:00,114.7
"2023","VAUL",637.850422396917,2020-06-25 01:30:00,219.486792199651,115.1,79.3027272727273,7.43223186380781,0.87145,637.850422396917,2020-06-25 01:30:00,115.1
"2024","VAUL",632.919688900664,2020-06-25 01:45:00,219.380084229634,115.154545454545,80.9963636363636,7.2199426518789,0.871725,632.919688900664,2020-06-25 01:45:00,115.154545454545
"2025","VAUL",634.368410291695,2020-06-25 02:00:00,218.65660890446,115.245454545455,77.63,7.39627965856178,0.8709,634.368410291695,2020-06-25 02:00:00,115.245454545455
"2026","VAUL",620.943363166981,2020-06-25 02:15:00,218.875266705854,115.336363636364,85.38,7.10352598727273,0.870125,620.943363166981,2020-06-25 02:15:00,115.336363636364
"2027","VAUL",612.482236409528,2020-06-25 02:30:00,219.032339633574,115.563636363636,77.5427272727273,7.3723115217311,0.86835,612.482236409528,2020-06-25 02:30:00,115.563636363636
"2028","VAUL",616.062167146482,2020-06-25 02:45:00,219.515819567375,115.763636363636,80.4290909090909,7.30211912101267,0.865975,616.062167146482,2020-06-25 02:45:00,115.763636363636
"2029","VAUL",607.483408880442,2020-06-25 03:00:00,220.428906695518,115.872727272727,73.4109090909091,7.46818406905383,0.865125,607.483408880442,2020-06-25 03:00:00,115.872727272727
"2030","VAUL",603.353079467256,2020-06-25 03:15:00,219.444677808535,116.172727272727,78.0054545454545,7.36546348263662,0.8637,603.353079467256,2020-06-25 03:15:00,116.172727272727
"2031","VAUL",602.78420074728,2020-06-25 03:30:00,220.084528825288,116.572727272727,73.8490909090909,7.3808715705992,0.8622,602.78420074728,2020-06-25 03:30:00,116.572727272727
"2032","VAUL",588.767943332846,2020-06-25 03:45:00,220.406744011274,116.8,75.7572727272727,7.33464730671145,0.86145,588.767943332846,2020-06-25 03:45:00,116.8
